location,quantity,paper_text,paper_value,recomputed_value,delta,verdict,note
Table 8 / lag 1 window,mean agreement,,0.864,0.8638795377237402,-0.00012046227625983619,paper_correct,127 组均值
Table 8 / lag 1 window,mean excess over chance,,0.469,0.46882074919009303,-0.00017925080990693898,paper_correct,逐组 excess 的均值；注意印出的 agreement-chance 四舍五入后在 lag H 行是 -0.006，与印出的 -0.007 差一个末位
Table 8 / lag 1 window,groups with z>2,,127.0,127.0,0.0,paper_correct,同一分母 127
Table 8 / lag 1 window,groups in row (denominator),,127.0,127.0,0.0,paper_correct,每行分母都是 127，口径统一
Table 8 / lag H/4,mean agreement,,0.467,0.46734468040057964,0.00034468040057961113,paper_correct,127 组均值
Table 8 / lag H/4,mean excess over chance,,0.072,0.07228589186693272,0.0002858918669327304,paper_correct,逐组 excess 的均值；注意印出的 agreement-chance 四舍五入后在 lag H 行是 -0.006，与印出的 -0.007 差一个末位
Table 8 / lag H/4,groups with z>2,,93.0,93.0,0.0,paper_correct,同一分母 127
Table 8 / lag H/4,groups in row (denominator),,127.0,127.0,0.0,paper_correct,每行分母都是 127，口径统一
Table 8 / lag H/2,mean agreement,,0.415,0.4149325104047095,-6.748959529045973e-05,paper_correct,127 组均值
Table 8 / lag H/2,mean excess over chance,,0.02,0.019873721871062563,-0.00012627812893743762,paper_correct,逐组 excess 的均值；注意印出的 agreement-chance 四舍五入后在 lag H 行是 -0.006，与印出的 -0.007 差一个末位
Table 8 / lag H/2,groups with z>2,,72.0,72.0,0.0,paper_correct,同一分母 127
Table 8 / lag H/2,groups in row (denominator),,127.0,127.0,0.0,paper_correct,每行分母都是 127，口径统一
Table 8 / lag H,mean agreement,,0.389,0.38855079214698685,-0.0004492078530131671,paper_correct,127 组均值
Table 8 / lag H,mean excess over chance,,-0.007,-0.006507996386660134,0.0004920036133398663,paper_correct,逐组 excess 的均值；注意印出的 agreement-chance 四舍五入后在 lag H 行是 -0.006，与印出的 -0.007 差一个末位
Table 8 / lag H,groups with z>2,,37.0,37.0,0.0,paper_correct,同一分母 127
Table 8 / lag H,groups in row (denominator),,127.0,127.0,0.0,paper_correct,每行分母都是 127，口径统一
