key,backbone,dataset,pred_len,n_test_windows,persist_half_life_windows,half_life_over_H,within_one_order_of_magnitude_of_H
TimesNet__ILI__h24__s2021,TimesNet,ILI,24,170,8.45077040277506,0.3521154334489608,True
iTransformer__ILI__h24__s2021,iTransformer,ILI,24,170,4.760211591508642,0.1983421496461934,True
DLinear__ILI__h24__s2021,DLinear,ILI,24,170,4.459945971065984,0.1858310821277493,True
TimesNet__Electricity__h96__s2021,TimesNet,Electricity,96,5165,17.24210663808259,0.1796052774800269,True
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,1422,15.70751837926574,0.1636199831173514,True
TimesNet__ILI__h36__s2021,TimesNet,ILI,36,158,5.376263869073793,0.1493406630298276,True
PatchTST__ILI__h24__s2021,PatchTST,ILI,24,170,3.4893049724698115,0.1453877071862421,True
DLinear__ILI__h36__s2021,DLinear,ILI,36,158,5.046721682118458,0.1401867133921794,True
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,11425,12.96856504365995,0.1350892192047911,True
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,2785,11.913201888910455,0.1240958530094839,True
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,11.63614553905476,0.1212098493651537,True
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,11425,11.583858684642635,0.1206651946316941,True
DLinear__Weather__h96__s2021,DLinear,Weather,96,10444,11.370852561099284,0.1184463808447842,True
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,5165,11.3049376294083,0.1177597669730031,True
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,5165,10.970425580756766,0.1142752664662163,True
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,2689,21.632855429025945,0.1126711220261768,True
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,1326,21.291003093437503,0.1108906411116536,True
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,10.034728064601335,0.1045284173395972,True
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,5069,18.99675041941856,0.0989414084344716,False
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,11425,9.350464780910604,0.0974006748011521,False
TimesNet__Electricity__h192__s2021,TimesNet,Electricity,192,5069,18.005119223541072,0.0937766626226097,False
iTransformer__ILI__h48__s2021,iTransformer,ILI,48,146,4.465880090187256,0.0930391685455678,False
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,11329,17.7007894103917,0.0921916115124567,False
TimesNet__ETTm1__h96__s2021,TimesNet,ETTm1,96,11425,8.496279802846008,0.0885029146129792,False
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2785,8.477754793688362,0.0883099457675871,False
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,11425,8.440297616695506,0.0879197668405781,False
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,1182,29.282428631154893,0.0871500852117705,False
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,16.345316953886474,0.0851318591348253,False
TimesNet__ETTm2__h96__s2021,TimesNet,ETTm2,96,11425,7.99479427856816,0.0832791070684183,False
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,2545,26.84281047279698,0.0798893168833243,False
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,15.116852144669473,0.0787336049201535,False
DLinear__ILI__h48__s2021,DLinear,ILI,48,146,3.7674875164966406,0.0784893232603466,False
PatchTST__Weather__h96__s2021,PatchTST,Weather,96,10444,7.509525665906978,0.078224225686531,False
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,11329,14.92547661140006,0.0777368573510419,False
PatchTST__ILI__h36__s2021,PatchTST,ILI,36,158,2.7927335311456702,0.077575931420713,False
TimesNet__ETTh1__h336__s2021,TimesNet,ETTh1,336,2545,25.9535948679603,0.0772428418689294,False
TimesNet__ETTh1__h96__s2021,TimesNet,ETTh1,96,2785,7.279810264440556,0.0758313569212558,False
TimesNet__ETTh2__h96__s2021,TimesNet,ETTh2,96,2785,7.238132896653821,0.0753972176734773,False
DLinear__Weather__h192__s2021,DLinear,Weather,192,10348,14.222372052143829,0.0740748544382491,False
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,4925,24.80345172590697,0.0738197968032945,False
TimesNet__Weather__h96__s2021,TimesNet,Weather,96,10444,6.786636289188569,0.0706941280123809,False
TimesNet__ILI__h48__s2021,TimesNet,ILI,48,146,3.38800625743764,0.0705834636966175,False
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,11329,13.503833732425536,0.070332467356383,False
TimesNet__Exchange__h96__s2021,TimesNet,Exchange,96,1422,6.648161562172443,0.0692516829392962,False
DLinear__Weather__h336__s2021,DLinear,Weather,336,10204,22.89400871755501,0.0681369307070089,False
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2689,12.600872971332205,0.0656295467256885,False
TimesNet__ETTm1__h192__s2021,TimesNet,ETTm1,192,11329,12.44090799047766,0.0647963957837378,False
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,1422,6.000886795098946,0.0625092374489473,False
iTransformer__ILI__h36__s2021,iTransformer,ILI,36,158,2.2363068425548174,0.0621196345154115,False
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,20.516971056240266,0.0610624138578579,False
DLinear__ILI__h60__s2021,DLinear,ILI,60,134,3.568085276816193,0.0594680879469365,False
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,11185,19.7463422004695,0.0587688755966354,False
iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,2785,5.6355643838139855,0.058703795664729,False
TimesNet__ETTh1__h192__s2021,TimesNet,ETTh1,192,2689,11.128223698222744,0.0579594984282434,False
TimesNet__ETTh2__h720__s2021,TimesNet,ETTh2,720,2161,41.377049305452616,0.0574681240353508,False
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,4541,41.28797420612726,0.0573444086196211,False
iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,11425,5.448824251438767,0.0567585859524871,False
iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,5165,5.419878834927572,0.0564570711971622,False
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,1422,5.334202886683676,0.0555646134029549,False
iTransformer__ETTm2__h96__s2021,iTransformer,ETTm2,96,11425,5.164419364478508,0.0537960350466511,False
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,11185,18.07089892476211,0.0537824372760777,False
TimesNet__ILI__h60__s2021,TimesNet,ILI,60,134,3.1626251840684767,0.0527104197344746,False
iTransformer__Electricity__h192__s2021,iTransformer,Electricity,192,5069,10.090731513630274,0.0525558933001576,False
TimesNet__Weather__h192__s2021,TimesNet,Weather,192,10348,9.794111325601538,0.051010996487508,False
iTransformer__Weather__h96__s2021,iTransformer,Weather,96,10444,4.749556777727747,0.0494745497679973,False
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,11329,9.307233904961308,0.0484751765883401,False
TimesNet__ETTm2__h192__s2021,TimesNet,ETTm2,192,11329,9.218121804716477,0.0480110510662316,False
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,10348,9.043336645269171,0.0471007116941102,False
PatchTST__ILI__h60__s2021,PatchTST,ILI,60,134,2.821771332613928,0.0470295222102321,False
