backbone,dataset,pred_len,plugin,n_seeds,seeds
DLinear,ETTh1,96,fredf,3,2021|2022|2023
DLinear,ETTh1,96,none,3,2021|2022|2023
DLinear,ETTh1,96,revin,3,2021|2022|2023
DLinear,ETTh1,96,san_lite,3,2021|2022|2023
DLinear,ETTh1,192,fredf,3,2021|2022|2023
DLinear,ETTh1,192,none,3,2021|2022|2023
DLinear,ETTh1,192,revin,3,2021|2022|2023
DLinear,ETTh1,192,san_lite,3,2021|2022|2023
DLinear,ETTh1,336,fredf,3,2021|2022|2023
DLinear,ETTh1,336,none,3,2021|2022|2023
DLinear,ETTh1,336,revin,3,2021|2022|2023
DLinear,ETTh1,336,san_lite,3,2021|2022|2023
DLinear,ETTh1,720,fredf,3,2021|2022|2023
DLinear,ETTh1,720,none,3,2021|2022|2023
DLinear,ETTh1,720,revin,3,2021|2022|2023
DLinear,ETTh1,720,san_lite,3,2021|2022|2023
DLinear,ETTh2,96,fredf,3,2021|2022|2023
DLinear,ETTh2,96,none,3,2021|2022|2023
DLinear,ETTh2,96,revin,3,2021|2022|2023
DLinear,ETTh2,96,san_lite,3,2021|2022|2023
DLinear,ETTh2,192,fredf,3,2021|2022|2023
DLinear,ETTh2,192,none,3,2021|2022|2023
DLinear,ETTh2,192,revin,3,2021|2022|2023
DLinear,ETTh2,192,san_lite,3,2021|2022|2023
DLinear,ETTh2,336,fredf,3,2021|2022|2023
DLinear,ETTh2,336,none,3,2021|2022|2023
DLinear,ETTh2,336,revin,3,2021|2022|2023
DLinear,ETTh2,336,san_lite,3,2021|2022|2023
DLinear,ETTh2,720,fredf,3,2021|2022|2023
DLinear,ETTh2,720,none,3,2021|2022|2023
DLinear,ETTh2,720,revin,3,2021|2022|2023
DLinear,ETTh2,720,san_lite,3,2021|2022|2023
DLinear,ETTm1,96,fredf,1,2021
DLinear,ETTm1,96,none,1,2021
DLinear,ETTm1,96,revin,1,2021
DLinear,ETTm1,96,san_lite,1,2021
DLinear,ETTm1,192,fredf,1,2021
DLinear,ETTm1,192,none,1,2021
DLinear,ETTm1,192,revin,1,2021
DLinear,ETTm1,192,san_lite,1,2021
DLinear,ETTm1,336,fredf,1,2021
DLinear,ETTm1,336,none,1,2021
DLinear,ETTm1,336,revin,1,2021
DLinear,ETTm1,336,san_lite,1,2021
DLinear,ETTm1,720,fredf,1,2021
DLinear,ETTm1,720,none,1,2021
DLinear,ETTm1,720,revin,1,2021
DLinear,ETTm1,720,san_lite,1,2021
DLinear,ETTm2,96,fredf,1,2021
DLinear,ETTm2,96,none,1,2021
DLinear,ETTm2,96,revin,1,2021
DLinear,ETTm2,96,san_lite,1,2021
DLinear,ETTm2,192,fredf,1,2021
DLinear,ETTm2,192,none,1,2021
DLinear,ETTm2,192,revin,1,2021
DLinear,ETTm2,192,san_lite,1,2021
DLinear,ETTm2,336,fredf,1,2021
DLinear,ETTm2,336,none,1,2021
DLinear,ETTm2,336,revin,1,2021
DLinear,ETTm2,336,san_lite,1,2021
DLinear,ETTm2,720,fredf,1,2021
DLinear,ETTm2,720,none,1,2021
DLinear,ETTm2,720,revin,1,2021
DLinear,ETTm2,720,san_lite,1,2021
DLinear,Electricity,96,fredf,1,2021
DLinear,Electricity,96,none,1,2021
DLinear,Electricity,96,revin,1,2021
DLinear,Electricity,96,san_lite,1,2021
DLinear,Electricity,192,fredf,1,2021
DLinear,Electricity,192,none,1,2021
DLinear,Electricity,192,revin,1,2021
DLinear,Electricity,192,san_lite,1,2021
DLinear,Electricity,336,fredf,1,2021
DLinear,Electricity,336,none,1,2021
DLinear,Electricity,336,revin,1,2021
DLinear,Electricity,336,san_lite,1,2021
DLinear,Electricity,720,fredf,1,2021
DLinear,Electricity,720,none,1,2021
DLinear,Electricity,720,revin,1,2021
DLinear,Electricity,720,san_lite,1,2021
DLinear,Exchange,96,fredf,3,2021|2022|2023
DLinear,Exchange,96,none,3,2021|2022|2023
DLinear,Exchange,96,revin,3,2021|2022|2023
DLinear,Exchange,96,san_lite,3,2021|2022|2023
DLinear,Exchange,192,fredf,3,2021|2022|2023
DLinear,Exchange,192,none,3,2021|2022|2023
DLinear,Exchange,192,revin,3,2021|2022|2023
DLinear,Exchange,192,san_lite,3,2021|2022|2023
DLinear,Exchange,336,fredf,3,2021|2022|2023
DLinear,Exchange,336,none,3,2021|2022|2023
DLinear,Exchange,336,revin,3,2021|2022|2023
DLinear,Exchange,336,san_lite,3,2021|2022|2023
DLinear,Exchange,720,fredf,3,2021|2022|2023
DLinear,Exchange,720,none,3,2021|2022|2023
DLinear,Exchange,720,revin,3,2021|2022|2023
DLinear,Exchange,720,san_lite,3,2021|2022|2023
DLinear,ILI,24,fredf,3,2021|2022|2023
DLinear,ILI,24,none,3,2021|2022|2023
DLinear,ILI,24,revin,3,2021|2022|2023
DLinear,ILI,24,san_lite,3,2021|2022|2023
DLinear,ILI,36,fredf,3,2021|2022|2023
DLinear,ILI,36,none,3,2021|2022|2023
DLinear,ILI,36,revin,3,2021|2022|2023
DLinear,ILI,36,san_lite,3,2021|2022|2023
DLinear,ILI,48,fredf,3,2021|2022|2023
DLinear,ILI,48,none,3,2021|2022|2023
DLinear,ILI,48,revin,3,2021|2022|2023
DLinear,ILI,48,san_lite,3,2021|2022|2023
DLinear,ILI,60,fredf,3,2021|2022|2023
DLinear,ILI,60,none,3,2021|2022|2023
DLinear,ILI,60,revin,3,2021|2022|2023
DLinear,ILI,60,san_lite,3,2021|2022|2023
DLinear,Weather,96,fredf,1,2021
DLinear,Weather,96,none,1,2021
DLinear,Weather,96,revin,1,2021
DLinear,Weather,96,san_lite,1,2021
DLinear,Weather,192,fredf,1,2021
DLinear,Weather,192,none,1,2021
DLinear,Weather,192,revin,1,2021
DLinear,Weather,192,san_lite,1,2021
DLinear,Weather,336,fredf,1,2021
DLinear,Weather,336,none,1,2021
DLinear,Weather,336,revin,1,2021
DLinear,Weather,336,san_lite,1,2021
DLinear,Weather,720,fredf,1,2021
DLinear,Weather,720,none,1,2021
DLinear,Weather,720,revin,1,2021
DLinear,Weather,720,san_lite,1,2021
PatchTST,ETTh1,96,fredf,3,2021|2022|2023
PatchTST,ETTh1,96,none,3,2021|2022|2023
PatchTST,ETTh1,96,revin,1,2021
PatchTST,ETTh1,96,san_lite,3,2021|2022|2023
PatchTST,ETTh1,192,fredf,3,2021|2022|2023
PatchTST,ETTh1,192,none,3,2021|2022|2023
PatchTST,ETTh1,192,san_lite,3,2021|2022|2023
PatchTST,ETTh1,336,fredf,3,2021|2022|2023
PatchTST,ETTh1,336,none,3,2021|2022|2023
PatchTST,ETTh1,336,san_lite,3,2021|2022|2023
PatchTST,ETTh1,720,fredf,3,2021|2022|2023
PatchTST,ETTh1,720,none,3,2021|2022|2023
PatchTST,ETTh1,720,revin,1,2021
PatchTST,ETTh1,720,san_lite,3,2021|2022|2023
PatchTST,ETTh2,96,fredf,3,2021|2022|2023
PatchTST,ETTh2,96,none,3,2021|2022|2023
PatchTST,ETTh2,96,san_lite,3,2021|2022|2023
PatchTST,ETTh2,192,fredf,3,2021|2022|2023
PatchTST,ETTh2,192,none,3,2021|2022|2023
PatchTST,ETTh2,192,san_lite,3,2021|2022|2023
PatchTST,ETTh2,336,fredf,3,2021|2022|2023
PatchTST,ETTh2,336,none,3,2021|2022|2023
PatchTST,ETTh2,336,san_lite,3,2021|2022|2023
PatchTST,ETTh2,720,fredf,3,2021|2022|2023
PatchTST,ETTh2,720,none,3,2021|2022|2023
PatchTST,ETTh2,720,san_lite,3,2021|2022|2023
PatchTST,ETTm1,96,fredf,1,2021
PatchTST,ETTm1,96,none,1,2021
PatchTST,ETTm1,96,san_lite,1,2021
PatchTST,ETTm1,192,fredf,1,2021
PatchTST,ETTm1,192,none,1,2021
PatchTST,ETTm1,192,san_lite,1,2021
PatchTST,ETTm1,336,fredf,1,2021
PatchTST,ETTm1,336,none,1,2021
PatchTST,ETTm1,336,san_lite,1,2021
PatchTST,ETTm1,720,fredf,1,2021
PatchTST,ETTm1,720,none,1,2021
PatchTST,ETTm1,720,san_lite,1,2021
PatchTST,ETTm2,96,fredf,1,2021
PatchTST,ETTm2,96,none,1,2021
PatchTST,ETTm2,96,san_lite,1,2021
PatchTST,ETTm2,192,fredf,1,2021
PatchTST,ETTm2,192,none,1,2021
PatchTST,ETTm2,192,san_lite,1,2021
PatchTST,ETTm2,336,fredf,1,2021
PatchTST,ETTm2,336,none,1,2021
PatchTST,ETTm2,336,san_lite,1,2021
PatchTST,ETTm2,720,fredf,1,2021
PatchTST,ETTm2,720,none,1,2021
PatchTST,ETTm2,720,san_lite,1,2021
PatchTST,Electricity,96,fredf,1,2021
PatchTST,Electricity,96,none,1,2021
PatchTST,Electricity,96,san_lite,1,2021
PatchTST,Electricity,192,fredf,1,2021
PatchTST,Electricity,192,none,1,2021
PatchTST,Electricity,192,san_lite,1,2021
PatchTST,Electricity,336,fredf,1,2021
PatchTST,Electricity,336,none,1,2021
PatchTST,Electricity,336,san_lite,1,2021
PatchTST,Electricity,720,fredf,1,2021
PatchTST,Electricity,720,none,1,2021
PatchTST,Electricity,720,san_lite,1,2021
PatchTST,Exchange,96,fredf,3,2021|2022|2023
PatchTST,Exchange,96,none,3,2021|2022|2023
PatchTST,Exchange,96,san_lite,3,2021|2022|2023
PatchTST,Exchange,192,fredf,3,2021|2022|2023
PatchTST,Exchange,192,none,3,2021|2022|2023
PatchTST,Exchange,192,san_lite,3,2021|2022|2023
PatchTST,Exchange,336,fredf,3,2021|2022|2023
PatchTST,Exchange,336,none,3,2021|2022|2023
PatchTST,Exchange,336,san_lite,3,2021|2022|2023
