key,backbone,dataset,pred_len,n_windows_total,n_fit_windows,n_eval_windows,mse_none_fit_segment,mse_none_eval_segment,drift_pct,abs_drift_pct,eval_windows_sharing_targets_with_fit,share_eval_windows_target_contaminated_pct,share_eval_windows_input_contaminated_pct,gain_gate_vs_bf_split
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2689.0,1882.0,807.0,0.25240110017074213,0.6446920991534785,155.42364859636612,155.42364859636612,191.0,23.667905824039654,35.5638166047088,-0.991865455999916
iTransformer__ETTh2__h192__s2021,iTransformer,ETTh2,192,2689.0,1882.0,807.0,0.27127147407749,0.6678579805287287,146.1954331172882,146.1954331172882,191.0,23.667905824039654,35.5638166047088,-1.545957723407554
PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,10801.0,7560.0,3241.0,0.2817467742757888,0.6771597633759181,140.34339527631218,140.34339527631218,719.0,22.184510953409443,25.146559703795123,-2.229860035519576
iTransformer__ETTm2__h720__s2021,iTransformer,ETTm2,720,10801.0,7560.0,3241.0,0.29040262013767276,0.6931738611402702,138.69407955467258,138.69407955467258,719.0,22.184510953409443,25.146559703795123,-0.0673333986379884
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2545.0,1781.0,764.0,0.2984118600446441,0.6916813008672756,131.78747009713229,131.78747009713229,335.0,43.84816753926701,56.41361256544503,2.0798658668319
iTransformer__ETTh2__h336__s2021,iTransformer,ETTh2,336,2545.0,1781.0,764.0,0.31173110144078625,0.7009774765993321,124.86606994281053,124.86606994281053,335.0,43.84816753926701,56.41361256544503,-1.465635019237898
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2785.0,1949.0,836.0,0.20998381684343592,0.4665346976957823,122.17650136516515,122.17650136516515,95.0,11.363636363636363,22.84688995215311,2.391458024324425
iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,2785.0,1949.0,836.0,0.22287752886057627,0.4778652903066868,114.40711979789636,114.40711979789636,95.0,11.363636363636363,22.84688995215311,5.638107520574256
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689.0,1882.0,807.0,0.3578376392106446,0.766977019654183,114.33659727525043,114.33659727525043,191.0,23.667905824039654,35.5638166047088,-0.0701548799161129
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2545.0,1781.0,764.0,0.44846648684120966,0.9345342045061554,108.38440149420792,108.38440149420792,335.0,43.84816753926701,56.41361256544503,1.7398984223090523
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785.0,1949.0,836.0,0.2715705296109736,0.5359154106006383,97.3393104798007,97.3393104798007,95.0,11.363636363636363,22.84688995215311,-0.7901068658180036
iTransformer__ETTm2__h336__s2021,iTransformer,ETTm2,336,11185.0,7829.0,3356.0,0.2619231342370024,0.4973352556189031,89.8783232980432,89.8783232980432,335.0,9.98212157330155,12.842669845053637,-1.866794679040425
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,10801.0,7560.0,3241.0,0.43158884294173877,0.7976729929079244,84.82243133787502,84.82243133787502,719.0,22.184510953409443,25.146559703795123,8.131224226785665
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,11185.0,7829.0,3356.0,0.24282859822527963,0.4439924790993492,82.84192321014989,82.84192321014989,335.0,9.98212157330155,12.842669845053637,-1.3018540813818995
iTransformer__ETTh2__h720__s2021,iTransformer,ETTh2,720,2161.0,1512.0,649.0,0.35143781624886117,0.629473298282167,79.11370637371094,79.11370637371094,649.0,100.0,100.0,-15.895711965038272
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2161.0,1512.0,649.0,0.35221733679508627,0.5892917010703205,67.30911272921237,67.30911272921237,649.0,100.0,100.0,1.7280385339867268
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,11329.0,7930.0,3399.0,0.20245837109541567,0.334659106207441,65.29773720728052,65.29773720728052,191.0,5.619299794057076,8.44365989997058,-0.620176496280608
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,11185.0,7829.0,3356.0,0.3098958828747615,0.5068807889761778,63.564867101194764,63.564867101194764,335.0,9.98212157330155,12.842669845053637,3.20615888207567
iTransformer__ETTm2__h192__s2021,iTransformer,ETTm2,192,11329.0,7930.0,3399.0,0.21450359165800018,0.3505213905162024,63.41049947315849,63.41049947315849,191.0,5.619299794057076,8.44365989997058,-1.0800703633054256
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,11425.0,7997.0,3428.0,0.14900701414065617,0.2406611947023256,61.509977292177574,61.509977292177574,95.0,2.7712952158693116,5.571761960326721,-0.7428348782382341
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,2545.0,1781.0,764.0,0.39911819087496264,0.6358062475724426,59.30274843614697,59.30274843614697,335.0,43.84816753926701,56.41361256544503,-0.2609635604085802
iTransformer__Exchange__h720__s2021,iTransformer,Exchange,720,798.0,558.0,240.0,0.7344920988222312,1.1573095937653066,57.56596913990898,57.56596913990898,240.0,100.0,100.0,0.189029146135733
iTransformer__ETTm2__h96__s2021,iTransformer,ETTm2,96,11425.0,7997.0,3428.0,0.15407187876529027,0.2416022450336045,56.81138373191131,56.81138373191131,95.0,2.7712952158693116,5.571761960326721,1.0115417357364564
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,11329.0,7930.0,3399.0,0.23922544182906533,0.3687455403402329,54.14143977366507,54.14143977366507,191.0,5.619299794057076,8.44365989997058,1.5792240981597516
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,11425.0,7997.0,3428.0,0.17001589087470553,0.2588323592355033,52.2400982072033,52.2400982072033,95.0,2.7712952158693116,5.571761960326721,1.440553675320768
PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,798.0,558.0,240.0,0.7292222479357952,1.1089718092435574,52.0759703070932,52.0759703070932,240.0,100.0,100.0,2.065698518454337
iTransformer__ETTh1__h336__s2021,iTransformer,ETTh1,336,2545.0,1781.0,764.0,0.429376872503498,0.6502321189852873,51.43622319341154,51.43622319341154,335.0,43.84816753926701,56.41361256544503,0.103150088074971
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2161.0,1512.0,649.0,0.7091379038875417,1.0734000855389936,51.36690334200753,51.36690334200753,649.0,100.0,100.0,-5.077125347529863
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545.0,1781.0,764.0,0.4241044645397249,0.6326649063614687,49.17666736852009,49.17666736852009,335.0,43.84816753926701,56.41361256544503,4.888498668354521
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,2161.0,1512.0,649.0,0.4296897771837075,0.579619278786359,34.89249909209531,34.89249909209531,649.0,100.0,100.0,-0.5923905276794675
PatchTST__Weather__h336__s2021,PatchTST,Weather,336,10204.0,7142.0,3062.0,0.25863317885275533,0.3475445308672353,34.37739597404819,34.37739597404819,335.0,10.94056172436316,14.075767472240367,-0.1645073099543572
DLinear__Weather__h336__s2021,DLinear,Weather,336,10204.0,7142.0,3062.0,0.2557886839257222,0.342641182243824,33.95478524895288,33.95478524895288,335.0,10.94056172436316,14.075767472240367,-3.2864369628639256
iTransformer__Weather__h336__s2021,iTransformer,Weather,336,10204.0,7142.0,3062.0,0.25568134003173165,0.3422128213110098,33.84348707987021,33.84348707987021,335.0,10.94056172436316,14.075767472240367,0.5750551514662527
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161.0,1512.0,649.0,0.4727261570966126,0.6303702087865936,33.34785886573286,33.34785886573286,649.0,100.0,100.0,1.04797892218322
DLinear__Weather__h192__s2021,DLinear,Weather,192,10348.0,7243.0,3105.0,0.2169148072137344,0.2825657517610828,30.26577364202712,30.26577364202712,191.0,6.151368760064412,9.243156199677939,-2.779516428315736
iTransformer__Weather__h192__s2021,iTransformer,Weather,192,10348.0,7243.0,3105.0,0.20653987589293843,0.2685744276872749,30.03514528424166,30.03514528424166,191.0,6.151368760064412,9.243156199677939,0.5596705707779801
PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,1182.0,827.0,355.0,0.35702024454289216,0.2504517259102472,-29.849432983580254,29.849432983580254,335.0,94.36619718309859,100.0,-1.9923605125171824
iTransformer__Exchange__h336__s2021,iTransformer,Exchange,336,1182.0,827.0,355.0,0.3724086528605676,0.2641828232248064,-29.06104055436159,29.06104055436159,335.0,94.36619718309859,100.0,-2.259564484760244
PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,1326.0,928.0,398.0,0.19745132955923228,0.1403543094182433,-28.917009709909685,28.917009709909685,191.0,47.98994974874372,72.11055276381909,-13.426485319482245
PatchTST__Weather__h192__s2021,PatchTST,Weather,192,10348.0,7243.0,3105.0,0.2115641536032644,0.2720626170168506,28.595800556570616,28.595800556570616,191.0,6.151368760064412,9.243156199677939,-0.6258398547488823
DLinear__Weather__h96__s2021,DLinear,Weather,96,10444.0,7310.0,3134.0,0.18161635907014947,0.2295966381418164,26.418478664212465,26.418478664212465,95.0,3.0312699425654115,6.094447989789407,0.3586114572874807
iTransformer__ETTh1__h192__s2021,iTransformer,ETTh1,192,2689.0,1882.0,807.0,0.4097573669522399,0.5150891466359371,25.705890407084333,25.705890407084333,191.0,23.667905824039654,35.5638166047088,-0.3815072709388365
iTransformer__ETTh1__h720__s2021,iTransformer,ETTh1,720,2161.0,1512.0,649.0,0.4850259935950549,0.6072986686119327,25.20950972350618,25.20950972350618,649.0,100.0,100.0,-0.5398572804385464
PatchTST__Weather__h96__s2021,PatchTST,Weather,96,10444.0,7310.0,3134.0,0.17249990185142064,0.2131276810306911,23.552349156850184,23.552349156850184,95.0,3.0312699425654115,6.094447989789407,1.4649949085919494
iTransformer__Weather__h96__s2021,iTransformer,Weather,96,10444.0,7310.0,3134.0,0.16384382974873032,0.2010185750664479,22.68913353327281,22.68913353327281,95.0,3.0312699425654115,6.094447989789407,2.207486746516956
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,2689.0,1882.0,807.0,0.4039904261433483,0.4947548004922075,22.466961708803762,22.466961708803762,191.0,23.667905824039654,35.5638166047088,1.0425473399262275
DLinear__Weather__h720__s2021,DLinear,Weather,720,9820.0,6874.0,2946.0,0.3259121773285958,0.3934272971340611,20.715740160084373,20.715740160084373,719.0,24.405974202308215,27.664630006788865,-2.671275554762617
PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,1422.0,995.0,427.0,0.09088872315352739,0.0721713341314528,-20.59374185558483,20.59374185558483,95.0,22.24824355971897,44.730679156908664,-0.3389677594828862
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,798.0,558.0,240.0,0.7946944784959261,0.6429518037261325,-19.094466977672795,19.094466977672795,240.0,100.0,100.0,0.0
iTransformer__Exchange__h192__s2021,iTransformer,Exchange,192,1326.0,928.0,398.0,0.19925560526437405,0.1637055891280497,-17.841413338990534,17.841413338990534,191.0,47.98994974874372,72.11055276381909,4.112442944844726
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,5165.0,3615.0,1550.0,0.19030353481344162,0.2221074640366339,16.712211496423496,16.712211496423496,95.0,6.129032258064516,12.32258064516129,-0.2286576552696661
PatchTST__Weather__h720__s2021,PatchTST,Weather,720,9820.0,6874.0,2946.0,0.3444132427691737,0.3996135625262407,16.027351130067423,16.027351130067423,719.0,24.405974202308215,27.664630006788865,-0.0325836591896773
iTransformer__ETTm1__h720__s2021,iTransformer,ETTm1,720,10801.0,7560.0,3241.0,0.49122323196176987,0.5675412824262439,15.53632757955829,15.53632757955829,719.0,22.184510953409443,25.146559703795123,-2.698722156562212
iTransformer__Weather__h720__s2021,iTransformer,Weather,720,9820.0,6874.0,2946.0,0.3434533726414224,0.3967296469321845,15.511938019716123,15.511938019716123,719.0,24.405974202308215,27.664630006788865,1.1286949535181463
iTransformer__Exchange__h96__s2021,iTransformer,Exchange,96,1422.0,995.0,427.0,0.11820308566655041,0.0998954943989772,-15.488251566645832,15.488251566645832,95.0,22.24824355971897,44.730679156908664,-1.069426446906255
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689.0,1882.0,807.0,0.4269548460492799,0.4906396473650595,14.91605070303593,14.91605070303593,191.0,23.667905824039654,35.5638166047088,0.2993723542221054
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,1182.0,827.0,355.0,0.3412722296733522,0.2936345561289451,-13.958848509298088,13.958848509298088,335.0,94.36619718309859,100.0,11.75419270671195
PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,5165.0,3615.0,1550.0,0.18449407328296336,0.2101094453084853,13.884116475782385,13.884116475782385,95.0,6.129032258064516,12.32258064516129,0.0
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,10801.0,7560.0,3241.0,0.44463612689274074,0.5050360167697991,13.584116589704964,13.584116589704964,719.0,22.184510953409443,25.146559703795123,-0.0169585331904929
iTransformer__Electricity__h96__s2021,iTransformer,Electricity,96,5165.0,3615.0,1550.0,0.1519245334350881,0.1720036673401632,13.216518393096917,13.216518393096917,95.0,6.129032258064516,12.32258064516129,-0.3751339857198408
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,11425.0,7997.0,3428.0,0.35897108416678714,0.3141195526424808,-12.494469193364653,12.494469193364653,95.0,2.7712952158693116,5.571761960326721,0.028631108657175
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,5069.0,3548.0,1521.0,0.19462822842818034,0.210776717528789,8.297095046810023,8.297095046810023,191.0,12.557527942143325,18.869165023011178,-0.2587876769987269
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,11425.0,7997.0,3428.0,0.33683804333036693,0.3089282206078185,-8.285828538427532,8.285828538427532,95.0,2.7712952158693116,5.571761960326721,-1.9208808029940656
iTransformer__ETTh1__h96__s2021,iTransformer,ETTh1,96,2785.0,1949.0,836.0,0.3878447755276698,0.4190024019499714,8.03353000692379,8.03353000692379,95.0,11.363636363636363,22.84688995215311,-1.9911705168491465
iTransformer__ETTm1__h192__s2021,iTransformer,ETTm1,192,11329.0,7930.0,3399.0,0.37778383986683844,0.4050182690380881,7.208997923481651,7.208997923481651,191.0,5.619299794057076,8.44365989997058,-1.6852779972685237
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,1422.0,995.0,427.0,0.09661813670366841,0.0903161503636306,-6.5225707667766875,6.5225707667766875,95.0,22.24824355971897,44.730679156908664,-24.15820387508076
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,2785.0,1949.0,836.0,0.3778099465241733,0.3977839538212598,5.286787042227457,5.286787042227457,95.0,11.363636363636363,22.84688995215311,0.6486333652920514
iTransformer__Electricity__h192__s2021,iTransformer,Electricity,192,5069.0,3548.0,1521.0,0.16821565644515266,0.1770681453909159,5.262583241560291,5.262583241560291,191.0,12.557527942143325,18.869165023011178,-0.1605662006832797
PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,5069.0,3548.0,1521.0,0.19318386909615967,0.2031898756292915,5.179524864030554,5.179524864030554,191.0,12.557527942143325,18.869165023011178,-0.0013537918971449
iTransformer__Electricity__h720__s2021,iTransformer,Electricity,720,4541.0,3178.0,1363.0,0.22805851634626775,0.2163259385594012,-5.14454709906674,5.14454709906674,719.0,52.751283932501835,59.79457079970653,-2.921426774857407
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,10801.0,7560.0,3241.0,0.46713474860689275,0.4892676123636372,4.738004146073468,4.738004146073468,719.0,22.184510953409443,25.146559703795123,1.2552390618432685
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,4925.0,3447.0,1478.0,0.20960226397898377,0.2193383388700482,4.645023725526475,4.645023725526475,335.0,22.66576454668471,29.161028416779434,-0.1396052361527575
iTransformer__ETTm1__h336__s2021,iTransformer,ETTm1,336,11185.0,7829.0,3356.0,0.4138470815801805,0.4318644626352478,4.353632502679982,4.353632502679982,335.0,9.98212157330155,12.842669845053637,-3.4870696377820503
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,4541.0,3178.0,1363.0,0.24511311749369316,0.2541922667937656,3.7040650426658854,3.7040650426658854,719.0,52.751283932501835,59.79457079970653,-0.3175081314556126
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,11329.0,7930.0,3399.0,0.3655633293571418,0.3787981010863854,3.6203772825128495,3.6203772825128495,191.0,5.619299794057076,8.44365989997058,-1.180524502874269
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,11185.0,7829.0,3356.0,0.39667862885367405,0.4089690398011929,3.0983294923237548,3.0983294923237548,335.0,9.98212157330155,12.842669845053637,-0.7130941703074026
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,1326.0,928.0,398.0,0.18052673386409873,0.184393334066748,2.1418435485350598,2.1418435485350598,191.0,47.98994974874372,72.11055276381909,6.908744708626029
iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,11425.0,7997.0,3428.0,0.3439401456385354,0.3497549580255808,1.6906466025505749,1.6906466025505749,95.0,2.7712952158693116,5.571761960326721,-4.805819626349323
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785.0,1949.0,836.0,0.39397265064434983,0.4002001997814224,1.5807059517677937,1.5807059517677937,95.0,11.363636363636363,22.84688995215311,-1.01078653698553
PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,4925.0,3447.0,1478.0,0.211260705595798,0.2133325501701359,0.9807051285258556,0.9807051285258556,335.0,22.66576454668471,29.161028416779434,-0.0028881967067298
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,11185.0,7829.0,3356.0,0.4144016126400819,0.4104972465654238,-0.9421696141055185,0.9421696141055185,335.0,9.98212157330155,12.842669845053637,0.0834532575745835
iTransformer__Electricity__h336__s2021,iTransformer,Electricity,336,4925.0,3447.0,1478.0,0.18781896109611457,0.1863004836425962,-0.8084793168147243,0.8084793168147243,335.0,22.66576454668471,29.161028416779434,-0.6997693120640187
PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,4541.0,3178.0,1363.0,0.2538389810915191,0.252908700964962,-0.3664843447436076,0.3664843447436076,719.0,52.751283932501835,59.79457079970653,-0.0046391246256444
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,11329.0,7930.0,3399.0,0.38164167697030527,0.3814978735714879,-0.0376802135340567,0.0376802135340567,191.0,5.619299794057076,8.44365989997058,-0.4864850689931252
