protocol,key,backbone,dataset,pred_len,mse_best_fixed_val,mse_selector,abs_mse_delta_vs_bf,rel_pct_delta_vs_bf,worse_than_bf
"static gate (in-pool reg, 96 groups)",DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,0.3958420334373813,0.3954165148617335,-0.0004255185756477653,-0.10749706693669726,False
"static gate (in-pool reg, 96 groups)",DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,0.4460673914794897,0.4463635180609605,0.0002961265814707681,0.06638606343507718,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,0.4867135716327749,0.487246865244886,0.0005332936121110743,0.10957031880620004,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,0.5200704373126226,0.5183326954755558,-0.001737741837066764,-0.334135861681786,False
"static gate (in-pool reg, 96 groups)",DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,0.2940500818219711,0.2999612714687305,0.005911189646759352,2.010266281897587,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,0.3793986027498545,0.3840873677875083,0.004688765037653808,1.235841408921901,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,0.417351451505905,0.419338867950943,0.0019874164450379705,0.4761973243094976,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,0.4198238453045591,0.4350349064476784,0.01521106114311932,3.6232008527492128,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,0.3422499922304302,0.3473926499252833,0.005142657694853114,1.502602720700915,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,0.3815985321426435,0.3863536372862349,0.004755105143591398,1.2461015289791302,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,0.4132301282818743,0.4142152947056863,0.0009851664238120228,0.23840624300753233,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,0.4737760421385666,0.4769149364729566,0.0031388943343899633,0.6625270286402372,True
"static gate (in-pool reg, 96 groups)",DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,0.182897411131624,0.1808356171608362,-0.0020617939707877897,-1.1272953280372013,False
"static gate (in-pool reg, 96 groups)",DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,0.2458672986831721,0.2343311737555317,-0.01153612492764039,-4.692012719636211,False
"static gate (in-pool reg, 96 groups)",DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,0.3064732617907189,0.2971598041573166,-0.0093134576334023,-3.0389136001567967,False
"static gate (in-pool reg, 96 groups)",DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,0.4102858028789961,0.4065789366678147,-0.003706866211181381,-0.9034839093066624,False
"static gate (in-pool reg, 96 groups)",DLinear__Electricity__h96__s2021,DLinear,Electricity,96,0.1970328139298075,0.1972951599251612,0.0002623459953536855,0.13314837773526683,True
"static gate (in-pool reg, 96 groups)",DLinear__Electricity__h192__s2021,DLinear,Electricity,192,0.1961283894536128,0.1961425329544036,1.4143500790791963e-05,0.007211348051240234,True
"static gate (in-pool reg, 96 groups)",DLinear__Electricity__h336__s2021,DLinear,Electricity,336,0.2098145837106075,0.2100698745401982,0.0002552908295907208,0.12167449234264749,True
"static gate (in-pool reg, 96 groups)",DLinear__Electricity__h720__s2021,DLinear,Electricity,720,0.246230234418034,0.2497669463311489,0.003536711913114915,1.4363434780760964,True
"static gate (in-pool reg, 96 groups)",DLinear__Exchange__h96__s2021,DLinear,Exchange,96,0.088676609442099,0.0941115859843549,0.005434976542255901,6.128985508635899,True
"static gate (in-pool reg, 96 groups)",DLinear__Exchange__h192__s2021,DLinear,Exchange,192,0.179537176594228,0.187408127545254,0.007870950951025996,4.384022908422545,True
"static gate (in-pool reg, 96 groups)",DLinear__Exchange__h336__s2021,DLinear,Exchange,336,0.3238748066606356,0.332820622537241,0.008945815876605367,2.76212156445346,True
"static gate (in-pool reg, 96 groups)",DLinear__Exchange__h720__s2021,DLinear,Exchange,720,0.8817172627475925,0.8817172627475925,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",DLinear__ILI__h24__s2021,DLinear,ILI,24,4.796501366531148,4.684174447901109,-0.11232691863003907,-2.341851071154274,False
"static gate (in-pool reg, 96 groups)",DLinear__ILI__h36__s2021,DLinear,ILI,36,4.36402454632747,4.384329417838326,0.020304871510855804,0.4652785816235452,True
"static gate (in-pool reg, 96 groups)",DLinear__ILI__h48__s2021,DLinear,ILI,48,4.008537466395391,4.008537466395391,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",DLinear__ILI__h60__s2021,DLinear,ILI,60,4.02952110500478,4.02952110500478,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",DLinear__Weather__h96__s2021,DLinear,Weather,96,0.1960141180332483,0.1943501712114463,-0.0016639468218020148,-0.8488913137980055,False
"static gate (in-pool reg, 96 groups)",DLinear__Weather__h192__s2021,DLinear,Weather,192,0.2366138971653692,0.2350243579820921,-0.0015895391832771166,-0.671786062576954,False
"static gate (in-pool reg, 96 groups)",DLinear__Weather__h336__s2021,DLinear,Weather,336,0.2818512427114952,0.2814646874383232,-0.00038655527317199567,-0.13714868504861488,False
"static gate (in-pool reg, 96 groups)",DLinear__Weather__h720__s2021,DLinear,Weather,720,0.3461667132702354,0.3453018482888303,-0.000864864981405089,-0.2498405965249268,False
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,0.3838058475264527,0.3861539356397127,0.002348088113259983,0.6117906041278196,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,0.4312298646333183,0.4340086902837055,0.0027788256503871733,0.6443954554840615,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,0.4701711084847366,0.4695584265387128,-0.0006126819460237631,-0.13031041996568213,False
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,0.4747171934447537,0.4742967745238352,-0.0004204189209185416,-0.08856197473443077,False
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,0.2869951405032426,0.2936677838088794,0.006672643305636827,2.3250021913041543,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,0.3701321660610613,0.3749413076315772,0.0048091415705158735,1.2993038734500317,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,0.4164699554428722,0.414647010137091,-0.0018229453057811984,-0.4377135209772064,False
"static gate (in-pool reg, 96 groups)",PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,0.4232737978007549,0.4248846492720168,0.001610851471261887,0.3805696170260351,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,0.3284638750771594,0.3378325253020752,0.009368650224915787,2.852261979407933,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,0.3695341113421095,0.3771897039206606,0.007655592578551085,2.0716876584807737,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,0.4003663015528134,0.4091441356774734,0.008777834124659989,2.192450785846691,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,0.4627600083010868,0.4673296239569544,0.004569615655867554,0.9874698707530518,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,0.1765072794330328,0.1821413175948371,0.0056340381618043,3.1919579633778588,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,0.2421220923987764,0.2471763868963758,0.005054294497599393,2.087498273092297,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,0.3031867550615226,0.3081157852998391,0.004929030238316479,1.6257406222499005,True
"static gate (in-pool reg, 96 groups)",PatchTST__ETTm2__h720__s2021,PatchTST,ETTm2,720,0.4003962972526909,0.4116751312469373,0.011278833994246396,2.816917656740542,True
"static gate (in-pool reg, 96 groups)",PatchTST__Electricity__h96__s2021,PatchTST,Electricity,96,0.1921811645974956,0.192362320183669,0.00018115558617340377,0.09426292454456511,True
"static gate (in-pool reg, 96 groups)",PatchTST__Electricity__h192__s2021,PatchTST,Electricity,192,0.1961862632442941,0.1963023833032424,0.00011612005894828803,0.059188679690429485,True
"static gate (in-pool reg, 96 groups)",PatchTST__Electricity__h336__s2021,PatchTST,Electricity,336,0.2118824693076501,0.2119987514645315,0.00011628215688141985,0.05488049920382037,True
"static gate (in-pool reg, 96 groups)",PatchTST__Electricity__h720__s2021,PatchTST,Electricity,720,0.2535597536498769,0.2547728428623272,0.0012130892124503356,0.47842340710166753,True
"static gate (in-pool reg, 96 groups)",PatchTST__Exchange__h96__s2021,PatchTST,Exchange,96,0.0885874627075523,0.0884339138256378,-0.0001535488819145031,-0.17333026279509042,False
"static gate (in-pool reg, 96 groups)",PatchTST__Exchange__h192__s2021,PatchTST,Exchange,192,0.1823752008920723,0.1896488342425739,0.0072736333505016015,3.988279829123292,True
"static gate (in-pool reg, 96 groups)",PatchTST__Exchange__h336__s2021,PatchTST,Exchange,336,0.3433840447333964,0.347028557835194,0.0036445131017975863,1.0613519054524472,True
"static gate (in-pool reg, 96 groups)",PatchTST__Exchange__h720__s2021,PatchTST,Exchange,720,0.8787826002764523,0.8787826002764523,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",PatchTST__ILI__h24__s2021,PatchTST,ILI,24,2.8632270951481424,2.856877831851735,-0.0063492632964075035,-0.22175199819695038,False
"static gate (in-pool reg, 96 groups)",PatchTST__ILI__h36__s2021,PatchTST,ILI,36,2.7963005932448786,2.8119389013021805,0.01563830805730193,0.5592498923427596,True
"static gate (in-pool reg, 96 groups)",PatchTST__ILI__h48__s2021,PatchTST,ILI,48,2.736687513655179,2.736687513655179,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",PatchTST__ILI__h60__s2021,PatchTST,ILI,60,2.748105302230636,2.748105302230636,0.0,0.0,False
"static gate (in-pool reg, 96 groups)",PatchTST__Weather__h96__s2021,PatchTST,Weather,96,0.1846863709535337,0.1846950019475062,8.630993972497114e-06,0.004673324798107942,True
"static gate (in-pool reg, 96 groups)",PatchTST__Weather__h192__s2021,PatchTST,Weather,192,0.2297172004624821,0.2311418139403466,0.001424613477864517,0.6201596898257464,True
"static gate (in-pool reg, 96 groups)",PatchTST__Weather__h336__s2021,PatchTST,Weather,336,0.2853135551628629,0.2861920434635487,0.0008784883006858202,0.30790275638476444,True
"static gate (in-pool reg, 96 groups)",PatchTST__Weather__h720__s2021,PatchTST,Weather,720,0.3609795912341527,0.3613576539042889,0.0003780626701362366,0.10473242236318087,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh1__h96__s2021,iTransformer,ETTh1,96,0.3792224222978099,0.392991531232315,0.013769108934505114,3.6308794324645697,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh1__h192__s2021,iTransformer,ETTh1,192,0.4413686522645283,0.4490144230777245,0.007645770813196173,1.7322867797629145,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh1__h336__s2021,iTransformer,ETTh1,336,0.468905391996408,0.491839204023067,0.022933812026659006,4.890925209671013,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh1__h720__s2021,iTransformer,ETTh1,720,0.4745983337429263,0.4876991190991982,0.013100785356271905,2.7603943007874427,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh2__h96__s2021,iTransformer,ETTh2,96,0.291221649239853,0.2954191484854722,0.004197499245619185,1.4413417603311778,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh2__h192__s2021,iTransformer,ETTh2,192,0.3758533061584184,0.3784530189646115,0.0025997128061930885,0.6916828357224389,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh2__h336__s2021,iTransformer,ETTh2,336,0.4109939327525718,0.4208533347399506,0.009859401987378835,2.398916675325821,True
"static gate (in-pool reg, 96 groups)",iTransformer__ETTh2__h720__s2021,iTransformer,ETTh2,720,0.4894993698456286,0.4358729173958108,-0.053626452449817785,-10.9553670041965,False
"static gate (in-pool reg, 96 groups)",iTransformer__ETTm1__h96__s2021,iTransformer,ETTm1,96,0.3326275164263906,0.3427773091858925,0.010149792759501897,3.051399014894191,True
