block,n_quarters,n_arms_available,argmin_by_quarter,n_distinct_argmin,constant_argmin,whole_horizon_best,n_quarters_where_whole_best_suboptimal,per_leadtime_oracle_mse,best_fixed_arm_mse,control_mse,leadtime_oracle_gain_vs_control_pct,leadtime_oracle_gain_vs_best_fixed_pct
ETTh1|192|DLinear,4,4,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.4426456975845683,0.4426456975845683,0.4468576894932129,0.9425801564300045,0.0
ETTh1|192|PatchTST,4,3,q1:none;q2:none;q3:none;q4:none,1,True,none,0,0.43397149560094506,0.43397149560094506,0.43397149560094506,0.0,0.0
ETTh1|192|TimesNet,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.4464004494879926,0.4464004494879926,0.49600349976180425,10.00054441100365,0.0
ETTh1|192|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.43284233541254336,0.43284233541254336,0.4479632850666768,3.375488607706499,0.0
ETTh1|336|DLinear,4,4,q1:none;q2:fredf;q3:fredf;q4:fredf,2,False,fredf,1,0.4850275628852002,0.4855232106319014,0.4875989339693442,0.527353713268295,0.10208528363785338
ETTh1|336|PatchTST,4,3,q1:none;q2:none;q3:none;q4:san_lite,2,False,none,1,0.4749448569590774,0.4757374717967634,0.4757374717967634,0.16660761127191775,0.16660761127191775
ETTh1|336|TimesNet,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.49069086110802884,0.49069086110802884,0.5287958572068044,7.205993689143689,0.0
ETTh1|336|iTransformer,4,3,q1:fredf;q2:fredf;q3:fredf;q4:fredf,1,True,fredf,0,0.46949994178139365,0.46949994178139365,0.494876056009181,5.127771675281167,0.0
ETTh1|720|DLinear,4,4,q1:revin;q2:revin;q3:revin;q4:revin,1,True,revin,0,0.483601843914806,0.483601843914806,0.5137476507156385,5.867823776681052,0.0
ETTh1|720|PatchTST,4,4,q1:revin;q2:san_lite;q3:san_lite;q4:san_lite,2,False,san_lite,1,0.4664065376090879,0.46751151595353213,0.4804674877847965,2.926514391335161,0.23635318205809885
