block,method,n_seeds_method,n_seeds_control,gain_abs,rel_gain_pct,seed_sd_method,seed_sd_control,noise_scale,gain_over_noise,within_noise
ETTh1|96|DLinear,fredf,3,3,0.005255980044709452,1.3270829225655585,0.00010416840809309526,0.0006446559069659592,0.0006530178371459336,8.048754177498628,False
ETTh1|96|PatchTST,fredf,3,3,-0.01488730384755127,-3.866164530678815,0.003373140170532091,0.0012500044263011973,0.003597302555503199,4.138463089454759,False
ETTh1|96|TimesNet,fredf,3,3,0.00504155605925255,1.2533052254664403,0.0032556597563646985,0.003399228762909759,0.004706811726828008,1.0711191251854322,False
ETTh1|96|iTransformer,fredf,3,3,0.009890922129380142,2.5241342630083565,0.0012448984285343338,0.001627825806958515,0.002049289866067608,4.82651199967132,False
ETTh1|192|DLinear,fredf,3,3,0.0042119921638256175,0.9425802137806919,0.00013095514895199203,0.002020634050552112,0.0020248731360970923,2.080126447795223,False
ETTh1|192|PatchTST,fredf,3,3,-0.025004264443648894,-5.7617296642781115,0.0024276625429544927,0.003013913483318178,0.0038700413314836043,6.460981240751595,False
ETTh1|192|TimesNet,fredf,3,3,0.04960305123862074,10.00054460340459,0.01465799186545977,0.022101192752559486,0.026520170561549424,1.8703896011339498,False
ETTh1|192|iTransformer,fredf,3,3,0.015120953723789132,3.375489498600858,0.0009201200039634487,0.002781873356660912,0.0029300921818593943,5.160572700546777,False
ETTh1|336|DLinear,fredf,3,3,0.002075721728452773,0.425702679457067,2.086225550834738e-05,0.0008545926266883192,0.0008548472327234478,2.4281785668765115,False
ETTh1|336|PatchTST,fredf,3,3,-0.0318919231417395,-6.703681144583845,0.0029037088719170248,0.004336063092063444,0.005218521663383648,6.1112945770663005,False
ETTh1|336|TimesNet,fredf,3,3,0.03810499299614456,7.205993140995607,0.021574512065249404,0.0008466359601749775,0.02159111769461353,1.7648457821917598,False
ETTh1|336|iTransformer,fredf,3,3,0.025376117889956473,5.127772399219617,0.0017501615014724815,0.006110261536744139,0.006355970526099949,3.9924851422379657,False
ETTh1|720|DLinear,fredf,3,3,0.002938387829303113,0.5719515811119212,0.00027905306981398,0.002329738997364803,0.002346391785617859,1.2523005950301551,False
ETTh1|720|PatchTST,fredf,3,3,-0.05890947685081899,-12.260866517056455,0.0031912049490767794,0.007723268102742622,0.00835659375666029,7.049460410094428,False
ETTh1|720|TimesNet,fredf,3,3,0.09546402572417734,15.543294495126572,0.026036340840728624,0.06936206343605741,0.07408769728154767,1.2885273699544941,False
ETTh1|720|iTransformer,fredf,3,3,0.02920967791468193,5.794257155819111,0.0008831978544814896,0.015274049766335559,0.01529956321973461,1.909183778331981,False
ETTh2|96|DLinear,fredf,3,3,0.039950702109615044,11.574850508245857,0.0019895677258932334,0.005157270721027527,0.005527731996568191,7.22732255008344,False
ETTh2|96|PatchTST,fredf,3,3,0.0049014689878781326,1.6679256439051011,0.002760188467264321,0.005123050515323794,0.005819302961470416,0.8422776783286146,True
ETTh2|96|TimesNet,fredf,3,3,0.02503569790679061,7.527124428195455,0.004644071399593178,0.0059697962574557705,0.007563455990488228,3.310087073723362,False
ETTh2|96|iTransformer,fredf,3,3,0.007473978106631973,2.471083006089735,0.0080994157819567,0.0041418387278542535,0.009096997529765664,0.8215873514505065,True
ETTh2|192|DLinear,fredf,3,3,0.06909056474379355,14.451413544986238,0.000776620714432618,0.004771760900856537,0.004834546703573047,14.291011956246297,False
ETTh2|192|PatchTST,fredf,3,3,-0.004775035103150249,-1.285137306961795,0.0035622575131965244,0.00365336560486706,0.005102622740625722,0.9358001455080528,True
ETTh2|192|TimesNet,fredf,3,3,0.034023098947672525,7.882601924301688,0.01572762514145046,0.012938849691044373,0.020365952565922954,1.670587164412884,False
ETTh2|192|iTransformer,fredf,3,3,0.013640752899532538,3.534045759437666,0.0023314327826417874,0.0038385378812357636,0.004491096957944548,3.037287555193539,False
ETTh2|336|DLinear,fredf,3,3,0.09073839412924223,15.326024036239309,0.002111252937495198,0.010804435214843701,0.011008778736891607,8.242366959848876,False
ETTh2|336|PatchTST,fredf,3,3,-0.002023799849284913,-0.4876368141218763,0.0008171293591531607,0.001257388960322904,0.0014995757357105937,1.349581619047676,False
ETTh2|336|TimesNet,fredf,3,3,0.039710239847681184,8.36285341389203,0.0165191649527846,0.0019943832074453575,0.01663912182524808,2.386558633606802,False
ETTh2|336|iTransformer,fredf,3,3,0.02752408596614403,6.25794059606177,0.004541454969231048,0.010918314119169718,0.011825159467948591,2.3275868744727264,False
ETTh2|720|DLinear,fredf,3,3,0.13184408359053068,15.92924452542605,0.0040670479207460895,0.014244111571218996,0.014813358607789793,8.90035049318247,False
ETTh2|720|PatchTST,fredf,3,3,-0.0018481998654639176,-0.43380588681570537,0.0006159180413340016,0.002014030620168335,0.00210610407449783,0.8775444138032894,True
