backbone,dataset,pred_len,plugin,seed,cell_id,mse,mae,val_mse,best_epoch,epochs_run,ms_per_iter,train_seconds,n_params,extra_params,peak_mem_mib,batch_size,seq_len,use_amp,device,plugin_kind,n_train_windows,probe,source,timestamp,status,seg1_mse,seg2_mse,seg3_mse,seg4_mse,tag,n_test_windows,n_val_windows
DLinear,ETTh1,192,fredf,2021,DLinear__ETTh1__h192__fredf__s2021,0.44276499763851807,0.4368208246961167,0.9546895653975751,9,10,3.2541751861572266,26.0,37248,0,18.57373046875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 00:29:39,ok,0.35204159584035666,0.4325719237596802,0.47166389450289686,0.5147825913918159,,,
DLinear,ETTh1,192,fredf,2022,DLinear__ETTh1__h192__fredf__s2022,0.44250558081245567,0.43656481020184895,0.9552005263938242,9,10,3.2782554626464844,25.9,37248,0,18.57373046875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 00:30:12,ok,0.35226805915460285,0.4320397139159035,0.4713330022088161,0.5143815586412511,,,
DLinear,ETTh1,192,fredf,2023,DLinear__ETTh1__h192__fredf__s2023,0.44266651318868677,0.43668688249029847,0.9543690975232241,9,10,3.2660961151123047,25.9,37248,0,18.57373046875,32,96,False,cuda:0,loss,8353,False,measured,2026-09-09 00:30:46,ok,0.35227687775496097,0.43233182289261246,0.47148042190328826,0.5145769090486347,,,
DLinear,ETTh1,192,none,2021,DLinear__ETTh1__h192__none__s2021,0.4450070154639668,0.4403814554835128,0.9156017115582705,7,10,2.7936697006225586,24.8,37248,0,18.318359375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:20:23,ok,0.35246579916875787,0.43508557737682824,0.47437132642286084,0.5181053635825764,,,
DLinear,ETTh1,192,none,2022,DLinear__ETTh1__h192__none__s2022,0.44901356138665666,0.4447478854545811,0.9138807058524345,2,6,2.7625560760498047,15.0,37248,0,18.318359375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:20:46,ok,0.35729101115131184,0.4378252510619593,0.47888813140379893,0.522049851817885,,,
DLinear,ETTh1,192,none,2023,DLinear__ETTh1__h192__none__s2023,0.4465524912805136,0.4420495094991473,0.9148720014375866,3,7,2.7780532836914062,17.5,37248,0,18.318359375,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:21:11,ok,0.354741330869452,0.436429872942717,0.4759463567206114,0.5190924013997965,,,
DLinear,ETTh1,192,revin,2021,DLinear__ETTh1__h192__revin__s2021,0.44860330318981967,0.43655974906885314,1.0080247826775433,9,10,2.998232841491699,25.4,37248,0,18.607421875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:24:39,ok,0.3550384071556434,0.43876063922515574,0.4783070408967985,0.5223071279696611,,,
DLinear,ETTh1,192,revin,2022,DLinear__ETTh1__h192__revin__s2022,0.44850235851391673,0.4364929038102864,1.0076592726448137,9,10,2.980470657348633,25.5,37248,0,18.607421875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:25:12,ok,0.3552890833877648,0.4381278157765915,0.4778086630171063,0.5227838785896588,,,
DLinear,ETTh1,192,revin,2023,DLinear__ETTh1__h192__revin__s2023,0.4484365304809326,0.43641228746689364,1.0075784542816901,9,10,2.991795539855957,25.4,37248,0,18.607421875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 00:25:45,ok,0.3552527245645453,0.438879636938929,0.4777748263444572,0.5218389458953279,,,
DLinear,ETTh1,192,san_lite,2021,DLinear__ETTh1__h192__san_lite__s2021,0.4614791147628968,0.4384098441075273,1.0361760551594366,9,10,6.438016891479492,47.8,37248,0,18.95263671875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 14:43:04,ok,0.3658247982373813,0.45303286740833065,0.4933292492943604,0.5337295468413922,,,
DLinear,ETTh1,192,san_lite,2022,DLinear__ETTh1__h192__san_lite__s2022,0.4613785086667933,0.4383458583012832,1.0359352984071468,9,10,6.511807441711426,48.0,37248,0,18.95263671875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 14:43:04,ok,0.36605442594174414,0.4523520312771261,0.4927473568845495,0.5343602265653408,,,
DLinear,ETTh1,192,san_lite,2023,DLinear__ETTh1__h192__san_lite__s2023,0.46135611654786685,0.4382842726657553,1.0359675983930947,9,10,6.445646286010742,48.1,37248,0,18.95263671875,32,96,False,cuda:0,io,8353,False,measured,2026-09-09 14:43:04,ok,0.3660856309165122,0.4532479464117147,0.49277044487109894,0.5333204495955636,,,
DLinear,ETTh1,336,fredf,2021,DLinear__ETTh1__h336__fredf__s2021,0.48554701693653274,0.46286348804010796,1.1677137836961897,9,10,3.4110546112060547,26.5,65184,0,20.00927734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 00:39:05,ok,0.3877333970045222,0.48155329222381066,0.5357869906294386,0.537114372877067,,,
DLinear,ETTh1,336,fredf,2022,DLinear__ETTh1__h336__fredf__s2022,0.48551451183908606,0.4629076508581085,1.166913526599859,9,10,3.411412239074707,26.3,65184,0,20.00927734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 00:39:39,ok,0.3873920225538526,0.48168473430820813,0.5359850914672707,0.5369961978556799,,,
DLinear,ETTh1,336,fredf,2023,DLinear__ETTh1__h336__fredf__s2023,0.48550810903315156,0.46286152311642975,1.1672694538277,9,10,3.412485122680664,26.4,65184,0,20.00927734375,32,96,False,cuda:0,loss,8209,False,measured,2026-09-09 00:40:13,ok,0.3876832305917431,0.4817101314832171,0.5355707152978318,0.5370683512901747,,,
DLinear,ETTh1,336,none,2021,DLinear__ETTh1__h336__none__s2021,0.4885750527494888,0.4667728922940431,1.1239531674961243,3,7,2.8617382049560547,17.4,65184,0,19.68408203125,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 00:31:11,ok,0.38660237047766366,0.48390890112754614,0.5401433758002586,0.5436455764695053,,,
DLinear,ETTh1,336,none,2022,DLinear__ETTh1__h336__none__s2022,0.48723626723912183,0.4653171377027911,1.1256444675580202,5,9,2.874612808227539,22.4,65184,0,19.68408203125,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 00:31:41,ok,0.38518941271695895,0.48241852678716735,0.5392681018305292,0.5420690211546446,,,
DLinear,ETTh1,336,none,2023,DLinear__ETTh1__h336__none__s2023,0.486985483005518,0.4650230856670701,1.1258966891029496,6,10,2.8808116912841797,24.9,65184,0,19.68408203125,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 00:32:14,ok,0.3850690939950813,0.4823266017077393,0.5387507821509757,0.5417954434140597,,,
DLinear,ETTh1,336,revin,2021,DLinear__ETTh1__h336__revin__s2021,0.4892002397794211,0.456381694262,1.2935621928428174,9,10,3.117084503173828,25.7,65184,0,20.09619140625,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 00:34:40,ok,0.38701718147685904,0.48389006482983354,0.5419848721196543,0.5439088403064164,,,
DLinear,ETTh1,336,revin,2022,DLinear__ETTh1__h336__revin__s2022,0.48921104522819686,0.4564354993017897,1.2936994875614785,9,10,3.098011016845703,25.6,65184,0,20.09619140625,32,96,False,cuda:0,io,8209,False,measured,2026-09-09 00:35:14,ok,0.3867991979290119,0.4841136360433567,0.5419567146518967,0.5439746303435226,,,
