backbone,dataset,pred_len,plugin,seed,cell_id,iters_per_epoch,ms_per_iter,est_seconds,est_hours,cost_source,done
DLinear,ILI,36,none,2021,DLinear__ILI__h36__none__s2021,19,2.301,1.3,0.0,measured,False
DLinear,ILI,48,none,2021,DLinear__ILI__h48__none__s2021,19,2.324,1.3,0.0,measured,False
DLinear,ILI,60,none,2021,DLinear__ILI__h60__none__s2021,19,2.35,1.3,0.0,measured,False
DLinear,ILI,24,none,2021,DLinear__ILI__h24__none__s2021,20,2.321,1.4,0.0,measured,False
DLinear,ILI,48,revin,2021,DLinear__ILI__h48__revin__s2021,19,2.553,1.4,0.0,measured,False
DLinear,ILI,36,revin,2021,DLinear__ILI__h36__revin__s2021,19,2.561,1.4,0.0,measured,False
DLinear,ILI,60,revin,2021,DLinear__ILI__h60__revin__s2021,19,2.578,1.4,0.0,measured,False
DLinear,ILI,24,revin,2021,DLinear__ILI__h24__revin__s2021,20,2.515,1.5,0.0,measured,False
DLinear,ILI,36,fredf,2021,DLinear__ILI__h36__fredf__s2021,19,2.806,1.6,0.0,measured,False
DLinear,ILI,48,fredf,2021,DLinear__ILI__h48__fredf__s2021,19,2.868,1.6,0.0,measured,False
DLinear,ILI,60,fredf,2021,DLinear__ILI__h60__fredf__s2021,19,2.879,1.6,0.0,measured,False
DLinear,ILI,24,fredf,2021,DLinear__ILI__h24__fredf__s2021,20,2.861,1.7,0.0,measured,False
PatchTST,ILI,48,none,2021,PatchTST__ILI__h48__none__s2021,19,6.413,2.0,0.001,measured,False
PatchTST,ILI,36,none,2021,PatchTST__ILI__h36__none__s2021,19,6.474,2.0,0.001,measured,False
PatchTST,ILI,60,none,2021,PatchTST__ILI__h60__none__s2021,19,6.522,2.0,0.001,measured,False
PatchTST,ILI,24,none,2021,PatchTST__ILI__h24__none__s2021,20,6.397,2.1,0.001,measured,False
PatchTST,ILI,36,fredf,2021,PatchTST__ILI__h36__fredf__s2021,19,6.981,2.1,0.001,measured,False
PatchTST,ILI,60,fredf,2021,PatchTST__ILI__h60__fredf__s2021,19,7.015,2.1,0.001,measured,False
PatchTST,ILI,48,fredf,2021,PatchTST__ILI__h48__fredf__s2021,19,7.03,2.2,0.001,measured,False
PatchTST,ILI,24,fredf,2021,PatchTST__ILI__h24__fredf__s2021,20,7.03,2.3,0.001,measured,False
DLinear,ILI,24,san_lite,2021,DLinear__ILI__h24__san_lite__s2021,20,4.306,2.5,0.001,measured,False
iTransformer,ILI,48,none,2021,iTransformer__ILI__h48__none__s2021,19,13.108,2.6,0.001,measured,False
iTransformer,ILI,36,none,2021,iTransformer__ILI__h36__none__s2021,19,13.115,2.6,0.001,measured,False
iTransformer,ILI,60,none,2021,iTransformer__ILI__h60__none__s2021,19,13.179,2.6,0.001,measured,False
DLinear,ILI,36,san_lite,2021,DLinear__ILI__h36__san_lite__s2021,19,4.622,2.6,0.001,measured,False
iTransformer,ILI,36,fredf,2021,iTransformer__ILI__h36__fredf__s2021,19,13.502,2.6,0.001,measured,False
iTransformer,ILI,60,fredf,2021,iTransformer__ILI__h60__fredf__s2021,19,13.608,2.6,0.001,measured,False
DLinear,ILI,60,san_lite,2021,DLinear__ILI__h60__san_lite__s2021,19,4.731,2.7,0.001,measured,False
iTransformer,ILI,48,fredf,2021,iTransformer__ILI__h48__fredf__s2021,19,13.716,2.7,0.001,measured,False
iTransformer,ILI,24,none,2021,iTransformer__ILI__h24__none__s2021,20,13.085,2.7,0.001,measured,False
DLinear,ILI,48,san_lite,2021,DLinear__ILI__h48__san_lite__s2021,19,4.816,2.7,0.001,measured,False
iTransformer,ILI,24,fredf,2021,iTransformer__ILI__h24__fredf__s2021,20,13.579,2.8,0.001,measured,False
PatchTST,ILI,60,san_lite,2021,PatchTST__ILI__h60__san_lite__s2021,19,9.1,2.8,0.001,measured,False
PatchTST,ILI,36,san_lite,2021,PatchTST__ILI__h36__san_lite__s2021,19,9.782,3.0,0.001,measured,False
PatchTST,ILI,48,san_lite,2021,PatchTST__ILI__h48__san_lite__s2021,19,9.869,3.0,0.001,measured,False
PatchTST,ILI,24,san_lite,2021,PatchTST__ILI__h24__san_lite__s2021,20,9.56,3.1,0.001,measured,False
iTransformer,ILI,36,san_lite,2021,iTransformer__ILI__h36__san_lite__s2021,19,17.955,3.5,0.001,measured,False
iTransformer,ILI,60,san_lite,2021,iTransformer__ILI__h60__san_lite__s2021,19,18.124,3.5,0.001,measured,False
iTransformer,ILI,48,san_lite,2021,iTransformer__ILI__h48__san_lite__s2021,19,18.468,3.6,0.001,measured,False
iTransformer,ILI,24,san_lite,2021,iTransformer__ILI__h24__san_lite__s2021,20,18.602,3.8,0.001,measured,False
DLinear,Exchange,96,none,2021,DLinear__Exchange__h96__none__s2021,160,2.661,12.6,0.003,measured,False
DLinear,Exchange,192,none,2021,DLinear__Exchange__h192__none__s2021,157,2.778,12.9,0.004,measured,False
DLinear,Exchange,336,none,2021,DLinear__Exchange__h336__none__s2021,153,2.909,13.1,0.004,measured,False
DLinear,Exchange,720,none,2021,DLinear__Exchange__h720__none__s2021,141,3.186,13.3,0.004,measured,False
DLinear,Exchange,96,revin,2021,DLinear__Exchange__h96__revin__s2021,160,2.895,13.7,0.004,measured,False
DLinear,Exchange,192,revin,2021,DLinear__Exchange__h192__revin__s2021,157,3.0,13.9,0.004,measured,False
DLinear,Exchange,336,revin,2021,DLinear__Exchange__h336__revin__s2021,153,3.121,14.1,0.004,measured,False
DLinear,Exchange,720,revin,2021,DLinear__Exchange__h720__revin__s2021,141,3.391,14.1,0.004,measured,False
DLinear,Exchange,96,fredf,2021,DLinear__Exchange__h96__fredf__s2021,160,3.214,15.2,0.004,measured,False
DLinear,Exchange,192,fredf,2021,DLinear__Exchange__h192__fredf__s2021,157,3.277,15.2,0.004,measured,False
DLinear,Exchange,336,fredf,2021,DLinear__Exchange__h336__fredf__s2021,153,3.425,15.5,0.004,measured,False
DLinear,Exchange,720,fredf,2021,DLinear__Exchange__h720__fredf__s2021,141,3.725,15.5,0.004,measured,False
PatchTST,Exchange,720,none,2021,PatchTST__Exchange__h720__none__s2021,141,7.142,16.2,0.005,measured,False
