key,backbone,dataset,pred_len,mse_random_gate,mse_shuffled_feat_gate,gain_random_vs_none,gain_shuffled_vs_none,gain_random_vs_best_fixed,gain_shuffled_vs_best_fixed,gate_minus_random,gate_minus_shuffled
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,0.398367722980424,0.3958543093713866,-0.6380549132450395,-0.003101220428420971,-0.6380549132450395,-0.003101220428420971,0.7408251091738426,0.11059485757454479
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,0.44735830150248174,0.44606739147948976,-0.2893979805848448,-1.2444566065907062e-14,-0.2893979805848448,-1.2444566065907062e-14,0.22236838752695434,-0.0663860634349159
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,0.48804530927380785,0.48671357163277496,-0.2736183494046786,0.0,-0.2736183494046786,0.0,0.16360038991220627,-0.10957031880597491
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,0.519195855714722,0.5200704373126226,0.1681659896721146,0.0,0.1681659896721146,0.0,0.16624944703696304,0.3341358616811435
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,0.3002051426095744,0.29553201822634234,14.452325330718443,15.783997802913275,-2.0932015218104505,-0.50397415133637,0.08123483119682862,-1.4987388740332424
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,0.3838388161600057,0.38098606609802743,20.137583998950802,20.731133954308007,-1.170329404999691,-0.418415707560054,-0.06475416686320458,-0.8140197150083738
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,0.41915413277029756,0.42277507655220087,29.48071720156955,28.87152278216827,-0.4319336276137789,-1.2995342478654612,-0.04407332916510483,0.8127746387683452
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,0.4369528552590559,0.5708309177190328,46.617665148079226,30.26184214902496,-4.0800469401707975,-35.969150895792204,0.438937241921897,23.789182935945366
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,0.3523338316518251,0.3422986649054733,-1.973921891788233,0.9304977751028267,-2.94633737042604,-0.014221380905141488,1.402414779007247,-1.4881697015096165
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,0.39020628950406766,0.38202983318025796,-2.2557102914074956,-0.1130248156856258,-2.2557102914074956,-0.1130248156856258,0.9873372934914544,-1.1317975012505013
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,0.41827257925357253,0.4132947299774332,-1.2202525001387299,-0.01563334595843373,-1.2202525001387299,-0.01563334595843373,0.9700096896423127,-0.22273807563459
