key,backbone,dataset,pred_len,seed,n_arms,arms,n_val_windows,n_test_windows,mse_none,mse_gate,mse_oracle,best_fixed_val,mse_best_fixed,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_bestfixed_vs_none,gain_oracle_vs_none,oracle_realized_pct,switch_rate,n_distinct_choices,oracle_arm_entropy,gate_acc,majority_acc,mse_fixed_fredf,mse_fixed_none,mse_fixed_revin,mse_fixed_san_lite,wilcoxon_p_gate_vs_best_fixed
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2021,4,fredf|none|revin|san_lite,2785,2785,0.39584203343738134,0.3954165148617335,0.3802207345112864,none,0.39584203343738134,0.1074970669364397,0.1074970669364397,0.0,3.9463466753150196,2.723964105889842,0.46570915619389586,4,0.9655646206613688,0.2506283662477558,0.37271095152603234,0.3909459126113347,0.39584203343738134,0.39887044788798054,0.4108910275051367,2.2757687916004887e-10
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2021,4,fredf|none|revin|san_lite,2689,2689,0.4460673914794897,0.4463635180609605,0.4271792814207591,none,0.4460673914794897,-0.06638606343492835,-0.06638606343492835,0.0,4.234362434797418,-1.5677936042002918,0.30531796206768314,4,0.9971791220176025,0.2052807735217553,0.2781703235403496,0.44298761307240064,0.4460673914794897,0.44881966055636513,0.4616647191198841,0.6041886779137893
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2021,4,fredf|none|revin|san_lite,2545,2545,0.48671357163277496,0.48724686524488603,0.46267372416021313,none,0.48671357163277496,-0.10957031880597491,-0.10957031880597491,0.0,4.939218643907156,-2.2183735262778677,0.12180746561886051,4,0.9956887024165951,0.26208251473477406,0.29390962671905696,0.4855605824230228,0.48671357163277496,0.4891576050189717,0.5025031716743948,0.4311016889869629
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2021,4,fredf|none|revin|san_lite,2161,2161,0.5200704373126226,0.5183326954755558,0.47054643724208517,none,0.5200704373126226,0.3341358616811435,0.3341358616811435,0.0,9.522556276482321,3.508888285592028,0.026376677464136973,3,0.7989799877313949,0.054141601110596946,0.5155020823692735,0.5105612312186266,0.5200704373126226,0.4832916740657333,0.4910252542751688,5.143753751233159e-11
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2021,4,fredf|none|revin|san_lite,2785,2785,0.3509214525938676,0.29996127146873053,0.262141147118122,revin,0.2940500818219711,14.521819839828847,-2.0102662818907695,16.20629640945703,25.299195822673415,57.40032189738877,1.0,3,0.939143999971506,0.2459605026929982,0.42118491921005385,0.3043871982481257,0.3509214525938676,0.2940500818219711,0.30094339621372024,7.021418582417126e-25
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2021,4,fredf|none|revin|san_lite,2689,2689,0.48062509923962776,0.38408736778750835,0.3356270163381308,revin,0.3793986027498545,20.085869756832494,-1.2358414089186585,21.06142534996776,30.168645609767214,66.57862608917084,1.0,3,0.9352434910825365,0.33581256972852364,0.4098177761249535,0.40827580502581623,0.48062509923962776,0.3793986027498545,0.38380495212936144,7.647304470116529e-14
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2021,4,fredf|none|revin|san_lite,2545,2545,0.5943822967807062,0.419338867950943,0.37894198329925305,revin,0.417351451505905,29.44963700593693,-0.4761973243083567,29.78400370154662,36.246085162354035,81.24915249161103,1.0,2,0.8459272699301792,0.3929273084479371,0.4538310412573674,0.4988290340176734,0.5943822967807062,0.417351451505905,0.4213009746844033,1.632668600857019e-05
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2021,4,fredf|none|revin|san_lite,2161,2161,0.8185345516856872,0.43503490644767845,0.3972509660547335,revin,0.4198238453045591,46.85198009635176,-3.6232008527405957,48.71030863138735,51.468027191136784,91.03123366715879,0.996298010180472,4,0.6658388180742497,0.44099953725127256,0.5057843590930124,0.697841200948258,0.8185345516856872,0.4198238453045591,0.42099392901949173,3.363088516630205e-07
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,2021,4,fredf|none|revin|san_lite,11425,11425,0.34551366184159493,0.34739264992528335,0.3262474579342867,fredf,0.34224999223043023,-0.5438245404444884,-1.5026027206965247,0.9445848230023169,5.576104807133584,-9.752767554163253,0.7475711159737418,4,0.9497541011673318,0.35080962800875276,0.4133916849015317,0.34224999223043023,0.34551366184159493,0.35357509381987595,0.4258496989598355,9.461998677692829e-56
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,2021,4,fredf|none|revin|san_lite,11329,11329,0.38159853214264355,0.3863536372862349,0.3667742559035717,none,0.38159853214264355,-1.2461015289758501,-1.2461015289758501,0.0,3.884783349609847,-32.07647420072832,0.5494747991879247,4,0.979378224945987,0.36543384235148735,0.29384764762997617,0.38255030249701466,0.38159853214264355,0.3910991633832928,0.4611442676788185,0.19354819969233916
