key,backbone,dataset,pred_len,seed,n_arms,arms,n_val_windows,n_test_windows,mse_none,mse_gate,mse_oracle,best_fixed_val,mse_best_fixed,gain_gate_vs_none,gain_gate_vs_best_fixed,gain_bestfixed_vs_none,gain_oracle_vs_none,oracle_realized_pct,switch_rate,n_distinct_choices,oracle_arm_entropy,gate_acc,majority_acc,mse_fixed_fredf,mse_fixed_none,mse_fixed_revin,mse_fixed_san_lite,wilcoxon_p_gate_vs_best_fixed
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2021,4,fredf|none|revin|san_lite,2785,2785,0.39584203343738134,0.39589000619292475,0.3802207345112864,none,0.39584203343738134,-0.012119166609647208,-0.012119166609647208,0.0,3.9463466753150196,-0.30709837746081897,0.5059245960502693,4,0.9655646206613688,0.2926391382405745,0.37271095152603234,0.3909459126113347,0.39584203343738134,0.39887044788798054,0.4108910275051367,0.00013596938509578775
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2021,4,fredf|none|revin|san_lite,2689,2689,0.4460673914794897,0.4464113596049593,0.4271792814207591,none,0.4460673914794897,-0.07711124642578847,-0.07711124642578847,0.0,4.234362434797418,-1.8210828102010392,0.2618073633320937,4,0.9971791220176025,0.2592041651171439,0.2781703235403496,0.44298761307240064,0.4460673914794897,0.44881966055636513,0.4616647191198841,0.010657401196151536
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2021,4,fredf|none|revin|san_lite,2545,2545,0.48671357163277496,0.48759150979326843,0.46267372416021313,none,0.48671357163277496,-0.18038086703570994,-0.18038086703570994,0.0,4.939218643907156,-3.6520121912545402,0.11159135559921414,4,0.9956887024165951,0.25265225933202357,0.29390962671905696,0.4855605824230228,0.48671357163277496,0.4891576050189717,0.5025031716743948,0.03168761943285869
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2021,4,fredf|none|revin|san_lite,2161,2161,0.5200704373126226,0.5144016384692283,0.47054643724208517,none,0.5200704373126226,1.0900059754744,1.0900059754744,0.0,9.522556276482321,11.44656900736158,0.10411846367422489,4,0.7989799877313949,0.07820453493752892,0.5155020823692735,0.5105612312186266,0.5200704373126226,0.4832916740657333,0.4910252542751688,1.1648525210802724e-38
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2021,4,fredf|none|revin|san_lite,2785,2785,0.3509214525938676,0.29532048441937836,0.262141147118122,revin,0.2940500818219711,15.844277334244234,-0.43203613123701406,16.20629640945703,25.299195822673415,62.6275927706206,0.9436265709156194,4,0.939143999971506,0.30341113105924594,0.42118491921005385,0.3043871982481257,0.3509214525938676,0.2940500818219711,0.30094339621372024,1.606304070749714e-19
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2021,4,fredf|none|revin|san_lite,2689,2689,0.48062509923962776,0.3725214689615359,0.3356270163381308,revin,0.3793986027498545,22.492298144414878,1.8126407789737502,21.06142534996776,30.168645609767214,74.55521349946777,0.9066567497210859,3,0.9352434910825365,0.32539977686872446,0.4098177761249535,0.40827580502581623,0.48062509923962776,0.3793986027498545,0.38380495212936144,0.0003542606707057622
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2021,4,fredf|none|revin|san_lite,2545,2545,0.5943822967807062,0.415404127381581,0.37894198329925305,revin,0.417351451505905,30.111625189411892,0.46659095524717625,29.78400370154662,36.246085162354035,83.07552403079025,0.9390962671905697,3,0.8459272699301792,0.4263261296660118,0.4538310412573674,0.4988290340176734,0.5943822967807062,0.417351451505905,0.4213009746844033,0.3862388891147417
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2021,4,fredf|none|revin|san_lite,2161,2161,0.8185345516856872,0.4228430196249833,0.3972509660547335,revin,0.4198238453045591,48.34145745531875,-0.7191526527576737,48.71030863138735,51.468027191136784,93.92521939043507,0.99537251272559,3,0.6658388180742497,0.41323461360481256,0.5057843590930124,0.697841200948258,0.8185345516856872,0.4198238453045591,0.42099392901949173,0.00015969053265104907
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,2021,4,fredf|none|revin|san_lite,11425,11425,0.34551366184159493,0.3501283205034827,0.3262474579342867,fredf,0.34224999223043023,-1.335593688908907,-2.3019221188835313,0.9445848230023169,5.576104807133584,-23.95209084181742,0.6833260393873085,4,0.9497541011673318,0.3486214442013129,0.4133916849015317,0.34224999223043023,0.34551366184159493,0.35357509381987595,0.4258496989598355,4.029193908186674e-94
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,2021,4,fredf|none|revin|san_lite,11329,11329,0.38159853214264355,0.392167378709566,0.3667742559035717,none,0.38159853214264355,-2.7696245338134666,-2.7696245338134666,0.0,3.884783349609847,-71.29418256760168,0.4953658751875717,4,0.979378224945987,0.3347162150233913,0.29384764762997617,0.38255030249701466,0.38159853214264355,0.3910991633832928,0.4611442676788185,4.092950758330832e-54
DLinear__ETTm1__h336__s2021,DLinear,ETTm1,336,2021,4,fredf|none|revin|san_lite,11185,11185,0.4132301282818743,0.42156378025381386,0.397973739526663,none,0.4132301282818743,-2.016709673752256,-2.016709673752256,0.0,3.691983645676392,-54.624014274326385,0.35422440768886904,4,0.9699789967141036,0.3547608404112651,0.32051855163164955,0.4137855528452911,0.4132301282818743,0.42362078286184496,0.492096795533377,3.1581983364779654e-22
DLinear__ETTm1__h720__s2021,DLinear,ETTm1,720,2021,4,fredf|none|revin|san_lite,10801,10801,0.47377604213856667,0.4762378171556758,0.4539263708060477,none,0.47377604213856667,-0.5196073245898636,-0.5196073245898636,0.0,4.189673931775466,-12.40209460270555,0.23331173039533376,4,0.9645064376742672,0.34709749097305803,0.29978705675400424,0.4719705190559569,0.47377604213856667,0.48674029452073864,0.5411938520843547,0.7459471665191753
DLinear__ETTm2__h96__s2021,DLinear,ETTm2,96,2021,4,fredf|none|revin|san_lite,11425,11425,0.19666471831810292,0.17913740808327624,0.15754895589194165,fredf,0.18289741113162405,8.912279937465616,2.05579894491854,7.000395039917837,19.88956776817135,44.80881656714438,0.7852954048140044,4,0.9754827241784214,0.28962800875273526,0.3360175054704595,0.18289741113162405,0.19666471831810292,0.18152044096981995,0.1896994988568111,2.4162074859345435e-27
DLinear__ETTm2__h192__s2021,DLinear,ETTm2,192,2021,4,fredf|none|revin|san_lite,11329,11329,0.27808490116699974,0.23601567775575988,0.21194748416650205,revin,0.24586729868317214,15.12819402799023,4.006885413447001,11.585527422923242,23.783174391241765,63.60880923167471,0.854532615411775,4,0.9521292924197632,0.369494218377615,0.35996116162061964,0.25188067424126603,0.27808490116699974,0.24586729868317214,0.2517604685095602,0.3144715671144064
DLinear__ETTm2__h336__s2021,DLinear,ETTm2,336,2021,4,fredf|none|revin|san_lite,11185,11185,0.36900016046764067,0.2989989764801908,0.261187234084935,revin,0.30647326179071893,18.970502315919425,2.438805025545001,16.94495162211063,29.217582519687852,64.92837764028035,0.9696021457308895,4,0.937110776647658,0.3313366115333035,0.3631649530621368,0.32091120919666494,0.36900016046764067,0.30647326179071893,0.31136420470532106,0.02530559648985246
DLinear__ETTm2__h720__s2021,DLinear,ETTm2,720,2021,4,fredf|none|revin|san_lite,10801,10801,0.5414378134111775,0.4072049953120719,0.3432634106191642,san_lite,0.4102858028789961,24.79191788492964,0.7508930470658509,24.222913007433416,36.601507667723624,67.734690357214,0.9862049810202759,4,0.913730606157269,0.39959263031200815,0.3787612258124248,0.4499329319866142,0.5414378134111775,0.4068149283849777,0.4102858028789961,4.545166848386141e-51
DLinear__Electricity__h96__s2021,DLinear,Electricity,96,2021,4,fredf|none|revin|san_lite,2537,5165,0.19984779237316053,0.19731359728914033,0.19554116277588532,fredf,0.19703281392980754,1.268062585988244,-0.14250588708101977,1.4085611904497344,2.1549548014081723,58.84404558579019,0.9674733785091966,4,0.7410566884596559,0.5934172313649564,0.6193610842207163,0.19703281392980754,0.19984779237316053,0.20250872214183227,0.22430802955141602,2.0393066265873826e-26
DLinear__Electricity__h192__s2021,DLinear,Electricity,192,2021,4,fredf|none|revin|san_lite,2441,5069,0.1994737308787674,0.19613598689398698,0.1956121014652696,fredf,0.1961283894536128,1.6732749570880838,-0.0038737076235145496,1.6770836993924823,1.9359087517270082,86.43356538173926,0.9996054448609193,3,0.4665662016083543,0.821266521996449,0.822450187413691,0.1961283894536128,0.1994737308787674,0.2026185889416579,0.21917813164721253,0.007685794055213263
DLinear__Electricity__h336__s2021,DLinear,Electricity,336,2021,4,fredf|none|revin|san_lite,2297,4925,0.21252407488030226,0.20995896373000847,0.20913195049702213,fredf,0.20981458371060754,1.206974387125994,-0.06881314770729986,1.2749102289742942,1.5961129981037097,75.61960764708668,0.9851776649746193,3,0.5891414411264743,0.7110659898477157,0.7331979695431472,0.20981458371060754,0.21252407488030226,0.21732731875731862,0.23442959895896429,1.387978846770097e-23
DLinear__Electricity__h720__s2021,DLinear,Electricity,720,2021,4,fredf|none|revin|san_lite,1913,4541,0.24783826184427651,0.24628236022874453,0.24469787743458582,fredf,0.246230234418034,0.6277891088920411,-0.02116954111404243,0.6488212975147495,1.2671104075331239,49.54494138473261,0.9920722307861705,3,0.7477042348962364,0.5344637744990091,0.5426117595243338,0.246230234418034,0.24783826184427651,0.2587717584880064,0.27495593152180614,0.0005565263772037086
DLinear__Exchange__h96__s2021,DLinear,Exchange,96,2021,4,fredf|none|revin|san_lite,665,1422,0.09472576809101299,0.0923667690256917,0.07268455533543929,revin,0.08867660944209907,2.490345671338182,-4.161367475332362,6.385969489355842,23.268444478764966,10.702673629506744,0.9971870604781997,4,0.8715397019569975,0.3037974683544304,0.39451476793248946,0.10164011660675124,0.09472576809101299,0.08867660944209907,0.10398419294506311,9.810090910957276e-18
DLinear__Exchange__h192__s2021,DLinear,Exchange,192,2021,4,fredf|none|revin|san_lite,569,1326,0.18168729712251086,0.1832301847771552,0.13587407143238714,revin,0.17953717659422805,-0.8491995197636067,-2.0569601533019206,1.1834181928641725,25.215425852793622,-3.367777822602142,1.0,2,0.9154173475258576,0.2684766214177979,0.39064856711915535,0.18392373163528392,0.18168729712251086,0.17953717659422805,0.19827621018578653,8.740472133202878e-12
DLinear__Exchange__h336__s2021,DLinear,Exchange,336,2021,4,fredf|none|revin|san_lite,425,1182,0.3269648065699135,0.33028814812425633,0.22923919874954143,revin,0.3238748066606356,-1.0164217945034548,-1.9801915220658017,0.9450558124847339,29.888723757545122,-3.400686502167789,1.0,3,0.9118935422226554,0.27749576988155666,0.38155668358714045,0.3120596443386449,0.3269648065699135,0.3238748066606356,0.3459409778203355,6.737361520878839e-24
DLinear__Exchange__h720__s2021,DLinear,Exchange,720,2021,4,fredf|none|revin|san_lite,41,798,0.749057583828319,0.8817172627475925,0.5543054330319092,san_lite,0.8817172627475925,-17.710211041598843,0.0,-17.710211041598843,25.9996233935449,-68.11718298160017,1.0,1,0.544069033685702,0.017543859649122806,0.7606516290726817,0.5621336390425388,0.749057583828319,0.873229348383153,0.8817172627475925,
DLinear__ILI__h24__s2021,DLinear,ILI,24,2021,4,fredf|none|revin|san_lite,74,170,4.775721829779008,4.752629231705385,4.292503416362931,revin,4.796501366531148,0.483541523076659,0.9146694949757067,-0.4351077699409668,10.118227791302003,4.7789151721937735,0.8352941176470589,4,0.9370361898602202,0.4764705882352941,0.3411764705882353,4.7826216655619005,4.775721829779008,4.796501366531148,5.259994735963204,0.017430267884770183
DLinear__ILI__h36__s2021,DLinear,ILI,36,2021,4,fredf|none|revin|san_lite,62,158,4.413906288297871,4.259263861028454,4.083243228966677,revin,4.36402454632747,3.503527650312138,2.4005521551695526,1.130104236753637,7.491392832869407,46.76737328376887,1.0,3,0.9430450551701235,0.5189873417721519,0.4240506329113924,4.429152248026449,4.413906288297871,4.36402454632747,5.041636179519605,0.029898791101543674
DLinear__ILI__h48__s2021,DLinear,ILI,48,2021,4,fredf|none|revin|san_lite,50,146,4.110672342450651,4.008537466395391,3.884848122727381,revin,4.008537466395391,2.484627028053164,0.0,2.484627028053164,5.4936078799359125,45.22760055585086,1.0,1,0.7640510792365507,0.5547945205479452,0.5547945205479452,4.172562605714145,4.110672342450651,4.008537466395391,4.602381866272181,
DLinear__ILI__h60__s2021,DLinear,ILI,60,2021,4,fredf|none|revin|san_lite,38,134,4.236840344187039,4.02952110500478,3.9328428791530095,revin,4.02952110500478,4.893251157472874,0.0,4.893251157472874,7.17509843039149,68.19768683214834,1.0,1,0.6685721829426023,0.6268656716417911,0.6268656716417911,4.281345416360827,4.236840344187039,4.02952110500478,4.24513829288198,
DLinear__Weather__h96__s2021,DLinear,Weather,96,2021,4,fredf|none|revin|san_lite,5175,10444,0.19601411803324834,0.19541914566580174,0.1745577818695891,none,0.19601411803324834,0.3035354664313742,0.3035354664313742,0.0,10.946321815406334,2.7729448442674,0.33626962849482955,4,0.9701374848308447,0.28868249712753735,0.30314055917273075,0.19471784277360035,0.19601411803324834,0.1950535423442299,0.20139735036845988,7.847674669790984e-16
DLinear__Weather__h192__s2021,DLinear,Weather,192,2021,4,fredf|none|revin|san_lite,5079,10348,0.23661389716536924,0.2359199745884395,0.21452612577493663,none,0.23661389716536924,0.2932721134472609,0.2932721134472609,0.0,9.334942560411884,3.141659539263875,0.22719366061074603,4,0.9950183062840244,0.2660417471975261,0.279860842674913,0.23414394015264145,0.23661389716536924,0.24028358038422692,0.24503595207554693,1.1685400169326511e-19
DLinear__Weather__h336__s2021,DLinear,Weather,336,2021,4,fredf|none|revin|san_lite,4935,10204,0.2818512427114952,0.2818767856069052,0.25820246212708686,none,0.2818512427114952,-0.009062544895737315,-0.009062544895737315,0.0,8.390518472374266,-0.10800935514524494,0.19208153665229322,4,0.9891134977076641,0.2805762446099569,0.29860838886711094,0.27975024257814685,0.2818512427114952,0.2919773756873603,0.2971289286938299,0.9094497152098298
DLinear__Weather__h720__s2021,DLinear,Weather,720,2021,4,fredf|none|revin|san_lite,4551,9820,0.34616671327023546,0.3447606596784655,0.31684808254909613,none,0.34616671327023546,0.4061781615230825,0.4061781615230825,0.0,8.469511826854076,4.795768278183039,0.15488798370672097,4,0.9802363195164917,0.3204684317718941,0.31771894093686354,0.34318443802308646,0.34616671327023546,0.3644344322110266,0.3700593011958293,9.82809400249511e-20
PatchTST__ETTh1__h96__s2021,PatchTST,ETTh1,96,2021,4,fredf|none|revin|san_lite,2785,2785,0.3838057347110187,0.3856357538480733,0.3678644415934167,revin,0.3838058475264527,-0.4768087007422455,-0.47677916670868925,-2.9393889614315114e-05,4.1534796580262805,-11.479740843101014,0.8341113105924596,4,0.9755714565986062,0.33500897666068225,0.34290843806104127,0.40038010719327566,0.3838057347110187,0.3838058475264527,0.3963526018886849,0.393245257064632
PatchTST__ETTh1__h192__s2021,PatchTST,ETTh1,192,2021,3,fredf|none|san_lite,2689,2689,0.4312298646333183,0.4324634773119891,0.4138778410145411,none,0.4312298646333183,-0.2860684706326825,-0.2860684706326825,0.0,4.023845526907478,-7.109330333464713,0.471178876905913,3,0.9710655991270877,0.44179992562290815,0.4510970621048717,0.45287175469901225,0.4312298646333183,,0.4446708385819793,0.38758738548803207
PatchTST__ETTh1__h336__s2021,PatchTST,ETTh1,336,2021,3,fredf|none|san_lite,2545,2545,0.4701711084847366,0.471560616085712,0.45190810511411994,none,0.4701711084847366,-0.29553232342381275,-0.29553232342381275,0.0,3.884331266001362,-7.608319249039228,0.6766208251473478,3,0.9020779594561195,0.4994106090373281,0.5096267190569744,0.5063419833750059,0.4701711084847366,,0.48105443498240474,0.5077614881045682
PatchTST__ETTh1__h720__s2021,PatchTST,ETTh1,720,2021,4,fredf|none|revin|san_lite,2161,2161,0.47471719344475377,0.47449380010435394,0.45811798352160316,none,0.47471719344475377,0.047058194538589615,0.047058194538589615,0.0,3.496652354776659,1.3458070680509615,0.6561776955113373,3,0.8270058623093653,0.34474780194354465,0.4812586765386395,0.5369186373233574,0.47471719344475377,0.47471861139263943,0.4718411241428326,0.006303327810000159
PatchTST__ETTh2__h96__s2021,PatchTST,ETTh2,96,2021,3,fredf|none|san_lite,2785,2785,0.2869951405032426,0.2906969758456228,0.26598353855298495,none,0.2869951405032426,-1.2898599383516387,-1.2898599383516387,0.0,7.321239625639945,-17.6180538302966,0.6549371633752245,3,0.9854160694762036,0.3443447037701975,0.3755834829443447,0.2940413616075978,0.2869951405032426,,0.2951118847331838,9.37642887321602e-11
PatchTST__ETTh2__h192__s2021,PatchTST,ETTh2,192,2021,3,fredf|none|san_lite,2689,2689,0.37013216606106136,0.3739481795622142,0.3451990620681636,none,0.37013216606106136,-1.030986726107183,-1.030986726107183,0.0,6.736270521464799,-15.305007760312533,0.8177761249535144,3,0.9865918844715129,0.38973596132391225,0.4068426924507252,0.380370926182591,0.37013216606106136,,0.3733840989604919,0.3696804461963956
PatchTST__ETTh2__h336__s2021,PatchTST,ETTh2,336,2021,3,fredf|none|san_lite,2545,2545,0.4164699554428722,0.4184651796792017,0.38749735272381536,none,0.4164699554428722,-0.4790799937063951,-0.4790799937063951,0.0,6.9567089631178645,-6.886589567420182,0.6302554027504912,3,0.9907128075082653,0.3225933202357564,0.3976424361493124,0.41885836376920194,0.4164699554428722,,0.41469255009106193,0.6002365273205631
PatchTST__ETTh2__h720__s2021,PatchTST,ETTh2,720,2021,3,fredf|none|san_lite,2161,2161,0.4234164401799206,0.4258105920482046,0.39458567585687515,san_lite,0.42327379780075497,-0.5654366814999011,-0.5993270220420687,0.033688436638091956,6.809080042032947,-8.304156772865161,0.1813975011568718,3,0.9897412955235009,0.2720962517353077,0.4039796390559926,0.42717531992640556,0.4234164401799206,,0.42327379780075497,6.5254701440679775e-06
PatchTST__ETTm1__h96__s2021,PatchTST,ETTm1,96,2021,3,fredf|none|san_lite,11425,11425,0.32846387507715946,0.3421290921731251,0.3062916126775533,none,0.32846387507715946,-4.1603409485179865,-4.1603409485179865,0.0,6.750289478357457,-61.6320375840042,0.2587308533916849,3,0.8268361583396667,0.5264770240700218,0.6311597374179431,0.3887122082054876,0.32846387507715946,,0.38321423874479155,4.640175999165482e-159
PatchTST__ETTm1__h192__s2021,PatchTST,ETTm1,192,2021,3,fredf|none|san_lite,11329,11329,0.3695341113421095,0.37750232022859714,0.3523643203040241,none,0.3695341113421095,-2.1562850740697166,-2.1562850740697166,0.0,4.646334536121727,-46.408304378013455,0.23214758584164533,3,0.782214933373874,0.5903433665813399,0.6683732015182275,0.4618637598949062,0.3695341113421095,,0.41838001298941513,3.105071879552467e-92
PatchTST__ETTm1__h336__s2021,PatchTST,ETTm1,336,2021,3,fredf|none|san_lite,11185,11185,0.40036630155281344,0.4115399731706976,0.38702193735817686,none,0.40036630155281344,-2.790862161605358,-2.790862161605358,0.0,3.333038805425776,-83.7332633767431,0.20062583817612875,3,0.718952915454381,0.6047384890478319,0.7085382208314707,0.4931569244254632,0.40036630155281344,,0.4511944498582029,4.482847237426607e-183
PatchTST__ETTm1__h720__s2021,PatchTST,ETTm1,720,2021,3,fredf|none|san_lite,10801,10801,0.4627600083010868,0.4719756984490508,0.4505171922553127,none,0.4627600083010868,-1.9914620932299814,-1.9914620932299814,0.0,2.6456080530152604,-75.27426788702137,0.23794093139524117,3,0.7173351118155944,0.5843903342283122,0.6950282381260995,0.5747780053566014,0.4627600083010868,,0.5045718898426415,1.159539552137138e-168
PatchTST__ETTm2__h96__s2021,PatchTST,ETTm2,96,2021,3,fredf|none|san_lite,11425,11425,0.17650727943303288,0.18213163117056863,0.1635461168799802,none,0.17650727943303288,-3.1864701306201804,-3.1864701306201804,0.0,7.343132019604176,-43.39388318046468,0.6959299781181619,3,0.9825492127970922,0.3598249452954048,0.41549234135667396,0.18660787360257666,0.17650727943303288,,0.18433471788959965,1.9301493454871948e-45
PatchTST__ETTm2__h192__s2021,PatchTST,ETTm2,192,2021,3,fredf|none|san_lite,11329,11329,0.24212209239877647,0.2468423982037325,0.22731289142684058,none,0.24212209239877647,-1.9495560104288874,-1.9495560104288874,0.0,6.116418714688738,-31.874142390142993,0.6223850295701298,3,0.9782057342000751,0.3575778974313708,0.42395621855415305,0.25491538460219526,0.24212209239877647,,0.2483829018354984,4.365163164458635e-30
PatchTST__ETTm2__h336__s2021,PatchTST,ETTm2,336,2021,3,fredf|none|san_lite,11185,11185,0.30318675506152265,0.3078366697041062,0.28648098077013867,none,0.30318675506152265,-1.5336800057854367,-1.5336800057854367,0.0,5.510060717506919,-27.834176142936588,0.656325435851587,3,0.9861223313634037,0.3680822530174341,0.40330800178810905,0.31416234756833644,0.30318675506152265,,0.3093595311655149,1.1663174501448994e-10
