key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,200,96,96,2689,False,none,fredf,True,0.40131526245597393,0.40131526245597393,0.4069769975863322,0.39643626381646924,0.3855961312166862,0.3963824944475762,-1.4107948687760887,-1.4107948687760887,1.2157520772157988,3.9169034197828556,-36.01811731075437,2.6265469459918878,1.229150363780798,-2.6727979381366187,0.8400892525102268,4,9.086940062783796e-09
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,200,192,192,2497,False,none,fredf,True,0.4538370510089574,0.4538370510089574,0.4692054844148454,0.44909846960519567,0.43443690799549667,0.45063242609853216,-3.386332907744638,-3.386332907744638,1.0441151495270367,4.27469352056826,-79.21814490971792,4.430448057271675,0.7061179564986451,-4.12155389639248,0.8610332398878654,4,3.241372860738841e-51
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,200,336,336,2209,False,none,fredf,True,0.5114633971584928,0.5114633971584928,0.509477198953648,0.4998500512001362,0.48542076310808163,0.5099079534782441,0.3883363337191917,0.3883363337191917,2.2706113522205964,5.091788424165591,7.626717792539037,1.8822750185014048,0.30411632364839225,0.0844769181686654,0.8931643277501131,4,9.205698333624993e-10
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,200,720,720,1441,False,none,revin,True,0.5726253633115294,0.5726253633115294,0.5369571087510945,0.5326697052476473,0.5177840929243153,0.5292465845633513,6.2288988308343125,6.2288988308343125,6.977626319719073,9.577164041419284,65.0390742372378,0.7487274888847608,7.575420427981055,-1.456886905390257,0.9354614850798056,4,2.2576175551510253e-162
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,200,96,96,2689,False,revin,revin,False,0.35644078376890337,0.30174329097345665,0.32035980246442985,0.3013565045815722,0.2688087135146058,0.30174329097345665,10.122573775891263,-6.169652167195706,0.12818392436675058,24.58530960667721,41.17326134069316,6.2978360915624565,0.0,-6.169652167195706,0.9494235775381182,4,3.780901698242274e-87
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,200,192,192,2497,False,revin,revin,False,0.4960602985879255,0.40217909459912354,0.43538791980798786,0.3984606826695075,0.35522948298267615,0.40217909459912354,12.230847530536916,-8.257223126399198,0.9245661894269145,28.389858250267437,43.08174920293887,9.181789315826112,0.0,-8.257223126399198,0.9483380056067281,4,1.2611811945235738e-75
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2545,200,336,336,2209,False,revin,revin,False,0.6366281243485528,0.4687455826151851,0.4785321164301155,0.4687593656260269,0.4248283275142953,0.4687455826151851,24.833337056851676,-2.0878135555559414,-0.0029404033558748377,33.26899782359675,74.64407911656676,2.0848731522000667,0.0,-2.0878135555559414,0.9791760977818017,4,0.008599405092985202
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2161,200,720,720,1441,False,revin,revin,False,0.8787088514118869,0.522277882535949,0.6013489180683345,0.5184804092960834,0.48976571085467924,0.522277882535949,31.564486109088577,-15.13964848526618,0.7270982300493861,44.26302750129593,71.31117750154637,15.866746715315566,0.0,-15.13964848526618,1.0,3,4.786103221747626e-63
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,11425,200,96,96,11329,False,fredf,fredf,False,0.344544685574051,0.3414131243949874,0.3447208704767386,0.3404638662313476,0.3253277949170061,0.3414131243949874,-0.051135574009379764,-0.968839756117499,0.278037982669577,5.5774741163026755,-0.9168231522088484,1.246877738787076,0.0,-0.968839756117499,0.7660870332774296,4,7.607887356189967e-82
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,11329,200,192,192,11137,False,none,none,False,0.38292680253599454,0.38292680253599454,0.3875117754819412,0.3816572163346678,0.3680026173067123,0.38292680253599454,-1.1973497064112457,-1.1973497064112457,0.3315480120261542,3.897398962518539,-30.72176386985225,1.5288977184374,0.0,-1.1973497064112457,0.6185687348478046,4,8.352197123090401e-42
