key,backbone,dataset,pred_len,n_test_windows,feedback_window,delay_windows,eval_start,n_eval_windows,insufficient,best_fixed_val,best_fixed_test,arm_id_mismatch,mse_none,mse_best_fixed,mse_online,mse_online_nodelay,mse_oracle,mse_best_fixed_test,gain_online_vs_none,gain_online_vs_best_fixed,gain_nodelay_vs_best_fixed,gain_oracle_vs_none,oracle_realized_pct,delay_cost_pp,gain_bestfixed_test_vs_val,gain_online_vs_best_fixed_test,switch_rate,n_distinct_choices,wilcoxon_p_online_vs_best_fixed
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,200,96,96,2689,False,none,fredf_sqrth_a09,True,0.40131526245597393,0.40131526245597393,0.40671267915986736,0.3962651622499308,0.3841963310352973,0.39634152530914524,-1.3449318301150093,-1.3449318301150093,1.2583872776542018,4.265706545988137,-31.528934668544956,2.6033191077692113,1.239359080533834,-2.616721485997837,0.9557456303458535,11,2.5846481468914355e-05
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,200,192,192,2497,False,none,fredf_a03,True,0.4538370510089574,0.4538370510089574,0.4678186143595169,0.4481369616045301,0.4327042378577701,0.4496696530030067,-3.080745240928498,-3.080745240928498,1.2559770939244506,4.656475954124687,-66.16044560594813,4.336722334852949,0.9182586562019677,-4.0360654171938215,1.0,9,3.325341295056834e-28
DLinear__ETTh1__h336__s2021,DLinear,ETTh1,336,2545,200,336,336,2209,False,fredf_sqrth_a01,fredf_a01,True,0.5114633971584928,0.5127840327118359,0.5089339602177043,0.4991984241091865,0.4833775295114129,0.5087879593486212,0.49454896573951185,0.7508175466703124,2.6493821445211565,5.491276170115002,9.006084385508991,1.898564597850844,0.7792897415455534,-0.028695818444632572,0.9678587596197374,10,5.1009177778819925e-17
DLinear__ETTh1__h720__s2021,DLinear,ETTh1,720,2161,200,720,720,1441,False,fredf_sqrth_a01,revin,True,0.5726253633115294,0.5647510056649538,0.5386944941395608,0.5331507054655855,0.5154546091409296,0.5292465845633513,5.92549183914678,4.613805245847628,5.595439385203977,9.983971691347692,59.35004647677721,0.9816341393563492,6.286738889421859,-1.785162125134278,1.0,5,7.344912768497921e-136
DLinear__ETTh2__h96__s2021,DLinear,ETTh2,96,2785,200,96,96,2689,False,revin,revin,False,0.35644078376890337,0.30174329097345665,0.3198484811805779,0.29978130079387466,0.2674075732123302,0.30174329097345665,10.26602573401007,-6.000196441369731,0.6502183273887845,24.978401633761308,41.09961031301137,6.650414768758515,0.0,-6.000196441369731,0.9880996653030867,11,2.2948391106110722e-94
DLinear__ETTh2__h192__s2021,DLinear,ETTh2,192,2689,200,192,192,2497,False,revin,revin,False,0.4960602985879255,0.40217909459912354,0.43383003694322714,0.3965285331932817,0.35367222941298937,0.40217909459912354,12.544898638676836,-7.869862648025832,1.4049863560064126,28.70378249982268,43.7046881840964,9.274849004032244,0.0,-7.869862648025832,1.0,9,3.66984768825464e-67
DLinear__ETTh2__h336__s2021,DLinear,ETTh2,336,2545,200,336,336,2209,False,revin,revin,False,0.6366281243485528,0.4687455826151851,0.475635031753398,0.4642516956434848,0.42305593597316915,0.4687455826151851,25.288404083568015,-1.4697630001676298,0.9587049218936291,33.54740078339953,75.38111297124165,2.428467922061259,0.0,-1.4697630001676298,1.0,7,0.01488701719492538
DLinear__ETTh2__h720__s2021,DLinear,ETTh2,720,2161,200,720,720,1441,False,revin,revin,False,0.8787088514118869,0.522277882535949,0.5943189076381289,0.5113244697834203,0.4847199678793291,0.522277882535949,32.364524758853165,-13.793619739791167,2.0972384852528756,44.83724989216374,72.18222535193313,15.890858225044042,0.0,-13.793619739791167,1.0,3,2.4553393556227062e-70
DLinear__ETTm1__h96__s2021,DLinear,ETTm1,96,11425,200,96,96,11329,False,fredf_a03,fredf,True,0.344544685574051,0.3417039428507043,0.3441702987052029,0.3396982195840484,0.3226954754453814,0.3414131243949874,0.10866133901419806,-0.7217815029921764,0.5869769163086291,6.3414735572550995,1.7135029899306051,1.3087584193008055,0.08510831139081898,-0.8075771296412114,0.859034336658134,11,3.399612311719932e-08
DLinear__ETTm1__h192__s2021,DLinear,ETTm1,192,11329,200,192,192,11137,False,fredf_sqrth_a01,fredf_sqrth_a05,True,0.38292680253599454,0.3829690312610967,0.3874868844057356,0.38156002556927393,0.36701973614103867,0.3826185154579824,-1.1908494886044185,-1.1796915091933218,0.36791635270855305,4.154074953637932,-28.66701977745175,1.547607861901875,0.09152588708260503,-1.2723819551474544,0.8332585076771123,11,1.0431515093548336e-25
