key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.0,0,False,False,2.638325367734228,2.638325367734228,1.4866989489515199,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.125,12,False,False,1.9767545277478495,1.9767545277478495,0.8173028280206401,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.25,24,False,False,1.5852201881496344,1.5852201881496344,0.42113728943118944,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.5,48,False,False,1.1436556857246492,1.1436556857246492,-0.025650185467409478,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,1.0,96,True,False,0.17346980424115438,0.17346980424115438,-1.0073117497230666,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,2.0,192,True,False,-2.263873693991573,-2.263873693991573,-3.4734849612368643,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.0,0,False,False,1.1800614059914674,1.1800614059914674,0.011186153822884246,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.125,12,False,False,0.707712651170999,0.707712651170999,-0.4667496998944029,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.25,24,False,False,0.2746211756133241,0.2746211756133241,-0.9049639261328319,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.5,48,False,False,-0.29741058589952357,-0.29741058589952357,-1.4837618704525095,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,1.0,96,True,False,-1.2469585354791348,-1.2469585354791348,-2.4445413904500195,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,2.0,192,True,False,-1.7110428245557532,-1.7110428245557532,-2.9141150235612514,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.0,0,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.125,12,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.25,24,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.5,48,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,1.0,96,True,False,0.9816289975020492,0.9816289975020492,-0.18959337949591062,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,2.0,192,True,False,0.23496164006252526,0.23496164006252526,-0.945092567921475,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,0.0,0,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,0.125,12,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,0.25,24,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,0.5,48,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,1.0,96,True,False,0.9816289975020492,0.9816289975020492,-0.18959337949591062,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,2.0,192,True,False,0.23496164006252526,0.23496164006252526,-0.945092567921475,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,0.0,0,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,0.125,12,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,0.25,24,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,0.5,48,False,False,1.169006018980065,1.169006018980065,0.0,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,1.0,96,True,False,0.9816289975020492,0.9816289975020492,-0.18959337949591062,3.9294891444831053
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000000000,2.0,192,True,False,0.23496164006252526,0.23496164006252526,-0.945092567921475,3.9294891444831053
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.0,0,False,False,3.3708663521640796,3.3708663521640796,2.6904778388094193,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.125,24,False,False,2.55307320307104,2.55307320307104,1.8669264153333047,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.25,48,False,False,1.5454796827614021,1.5454796827614021,0.852238191475483,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,0.5,96,False,False,-0.17500595374912084,-0.17500595374912084,-0.8803617900600061,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,1.0,192,True,False,-1.9909074874968633,-1.9909074874968633,-2.7090495146624436,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,50,2.0,384,True,False,0.4547477822990971,0.4547477822990971,-0.24617380947213433,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.0,0,False,False,1.105117851922918,1.105117851922918,0.4087756691569914,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.125,24,False,False,-0.08609296315614755,-0.08609296315614755,-0.7908227421362495,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.25,48,False,False,-0.5569181151310181,-0.5569181151310181,-1.2649630850179292,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,0.5,96,False,False,-1.7012502437688655,-1.7012502437688655,-2.417352725985603,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,1.0,192,True,False,-2.5288474005189716,-2.5288474005189716,-3.2507771894482986,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,200,2.0,384,True,False,1.1746976014060853,1.1746976014060853,0.4788453460618718,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.0,0,False,False,0.40766992878944713,0.40766992878944713,-0.29358314924842205,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.125,24,False,False,0.3840201749853862,0.3840201749853862,-0.31739942654518644,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.25,48,False,False,0.37245703389299806,0.37245703389299806,-0.32904398644037824,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,0.5,96,False,False,0.34534808940837114,0.34534808940837114,-0.35634381139490295,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,1.0,192,True,False,0.534066012791971,0.534066012791971,-0.1662970806166067,4.329574064801976
DLinear__ETTh1__h192__s2021,DLinear,ETTh1,192,2689,384,2305,1000,2.0,384,True,False,0.9972510487541181,0.9972510487541181,0.3001493503941078,4.329574064801976
