key,backbone,dataset,pred_len,n_test_windows,eval_start,n_eval_windows,feedback_window,delay_ratio,delay_windows,delay_feasible,insufficient,gain_vs_none,gain_vs_best_fixed,gain_vs_best_fixed_test,gain_oracle_vs_none
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.0,0,False,False,2.8802355714032597,2.8802355714032597,1.7270883475002692,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.125,12,False,False,2.114959741615613,2.114959741615613,0.952726049022838,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.25,24,False,False,1.655203327974442,1.655203327974442,0.48751073795557504,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,0.5,48,False,False,1.1755123335827191,1.1755123335827191,0.0021241537756296826,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,1.0,96,True,False,0.15187259248575874,0.15187259248575874,-1.0336697284754783,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,50,2.0,192,True,False,-1.9881120443148486,-1.9881120443148486,-3.1990633781339777,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.0,0,False,False,1.219366710094111,1.219366710094111,0.04649923328530059,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.125,12,False,False,0.7130717698112565,0.7130717698112565,-0.46580717755968193,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.25,24,False,False,0.28636270864419244,0.28636270864419244,-0.897582749876089,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,0.5,48,False,False,-0.22981720314760068,-0.22981720314760068,-1.4198915010016597,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,1.0,96,True,False,-1.178508571265436,-1.178508571265436,-2.3798471140846904,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,200,2.0,192,True,False,-1.7296159552714228,-1.7296159552714228,-2.9374980472197136,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.0,0,False,False,1.1262007107604468,1.1262007107604468,-0.04777296841742675,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.125,12,False,False,1.0448084920648997,1.0448084920648997,-0.1301315940188009,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.25,24,False,False,0.9891644787535974,0.9891644787535974,-0.18643629405905335,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,0.5,48,False,False,0.8890021736837151,0.8890021736837151,-0.28778787182446375,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,1.0,96,True,False,0.6530117745340661,0.6530117745340661,-0.5265802925322196,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,1000,2.0,192,True,False,0.07940752922580281,0.07940752922580281,-1.1069952024563603,4.267832932330134
DLinear__ETTh1__h96__s2021,DLinear,ETTh1,96,2785,192,2593,3000,0.0,0,False,False,1.1735195244493162,1.1735195244493162,0.00010768311119363833,4.267832932330134
