cell,backbone,dataset,pred_len,seed_a,seed_b,n_arms,n_test_windows,arms,argmin_agree,chance_agree,excess_agree,z_agree,self_oracle_gain_pct,xseed_oracle_gain_pct,reproducible_frac,noise_frac,adv_corr_across_seeds,same_arm_err_corr,seed_mse_gap_pct,best_fixed_arm_a,best_fixed_arm_b
DLinear__ETTh1__h96,DLinear,ETTh1,96,2021,2022,4,2785,"fredf,none,revin,san_lite",0.9526032315978457,0.2743276529497275,0.6782755786481182,80.2257340398769,2.719027998933681,2.7046658897866314,0.9947179252465652,0.0052820747534347845,0.9957873143429035,0.9998987048438486,0.032849262470754446,fredf,fredf
DLinear__ETTh1__h192,DLinear,ETTh1,192,2021,2022,4,2689,"fredf,none,revin,san_lite",0.9457047229453328,0.254065120200323,0.6916396027450098,82.38578289968882,3.454770816803503,3.421159985881321,0.9902711836169554,0.00972881638304457,0.9817893139332592,0.9998684334745942,0.22549439859933917,fredf,fredf
DLinear__ETTh1__h336,DLinear,ETTh1,336,2021,2022,4,2545,"fredf,none,revin,san_lite",0.9779960707269155,0.25328279572797696,0.7247132749989386,84.067703830988,4.695049386968355,4.6917326793500145,0.9992935734334241,0.0007064265665759351,0.9987888892761455,0.9999310081437516,0.03335773015286963,fredf,fredf
DLinear__ETTh1__h720,DLinear,ETTh1,720,2021,2022,4,2161,"fredf,none,revin,san_lite",0.9356779268857011,0.3604523502645976,0.5752255766211034,55.69358663530629,2.703694568402794,2.6554853676990935,0.9821691394926386,0.01783086050736138,0.9731703037602614,0.9993803415547491,0.4774768573631197,revin,revin
DLinear__ETTh2__h96,DLinear,ETTh2,96,2021,2022,4,2785,"fredf,none,revin,san_lite",0.9791741472172352,0.2941548240284417,0.6850193231887935,79.33644005301763,10.950755449516429,10.943728363651744,0.9993583012699827,0.0006416987300172927,0.9997759309322494,0.9999575090166671,0.09586168576502396,revin,revin
DLinear__ETTh2__h192,DLinear,ETTh2,192,2021,2022,4,2689,"fredf,none,revin,san_lite",0.9788025288211231,0.29504637227739805,0.683756156543725,77.74477954257452,11.513052398932611,11.506533389972317,0.9994337723190682,0.0005662276809318412,0.9998065047306824,0.9999678992099391,0.15331041246650867,revin,revin
DLinear__ETTh2__h336,DLinear,ETTh2,336,2021,2022,4,2545,"fredf,none,revin,san_lite",0.9842829076620825,0.3474064095784716,0.6368764980836109,67.47747156421791,9.207288757308422,9.194395431042803,0.9985996609202265,0.0014003390797735493,0.9990670788055696,0.9999241841715845,0.7821035257957019,revin,revin
DLinear__ETTh2__h720,DLinear,ETTh2,720,2021,2022,4,2161,"fredf,none,revin,san_lite",0.992133271633503,0.4288372330067254,0.5632960386267776,52.91001607905995,5.420750514802467,5.420170226926729,0.9998929506395555,0.00010704936044447777,0.9998112468272188,0.999937222692852,0.6383073136339401,revin,revin
DLinear__Exchange__h96,DLinear,Exchange,96,2021,2022,4,1422,"fredf,none,revin,san_lite",0.9127988748241913,0.32365322113225764,0.5891456536919337,47.48405468451,15.926325656414857,15.415472517243632,0.9679239800697242,0.032076019930275756,0.9868437150136232,0.9913038956901847,0.5013822749689216,revin,revin
DLinear__Exchange__h192,DLinear,Exchange,192,2021,2022,4,1326,"fredf,none,revin,san_lite",0.9728506787330317,0.2984690685648897,0.6743816101681419,53.66663976524733,24.67996180293796,24.633093588620095,0.9981009608243281,0.0018990391756719127,0.9977923902858781,0.9983571659443573,0.6999336969041449,revin,revin
DLinear__Exchange__h336,DLinear,Exchange,336,2021,2022,4,1182,"fredf,none,revin,san_lite",0.9365482233502538,0.294602340236085,0.6419458831141688,48.4141211720417,25.262961898515535,25.123530488691358,0.9944807972088036,0.0055192027911964425,0.9983292077675997,0.9964632185624119,1.3186943463022764,fredf,fredf
DLinear__Exchange__h720,DLinear,Exchange,720,2021,2022,4,798,"fredf,none,revin,san_lite",0.8884711779448622,0.5904830999805278,0.29798807796433435,17.118302003276998,1.887916491471554,1.646120037893255,0.8719241795542405,0.1280758204457595,0.9956060072048959,0.99888806980943,1.9030492800002186,fredf,fredf
DLinear__ILI__h24,DLinear,ILI,24,2021,2022,4,170,"fredf,none,revin,san_lite",0.9823529411764705,0.28339100346020757,0.698961937716263,20.22291841566116,10.020332997359986,10.01339745626187,0.999307853232029,0.0006921467679710247,0.999472088471437,0.9999363438158628,0.13235169994648063,none,none
DLinear__ILI__h36,DLinear,ILI,36,2021,2022,4,158,"fredf,none,revin,san_lite",0.9430379746835443,0.293422528440955,0.6496154462425894,17.933219555389357,6.675670389384513,6.616497463824533,0.9911360324718735,0.00886396752812646,0.9820689137989579,0.997622594433115,0.7947944673603472,revin,none
DLinear__ILI__h48,DLinear,ILI,48,2021,2022,4,146,"fredf,none,revin,san_lite",0.9315068493150684,0.41686995683993244,0.514636892475136,12.612301284607968,3.102776028488446,3.071887913664568,0.9900450066197896,0.009954993380210442,0.9860827722181209,0.9995220201338119,0.11554497778556334,revin,revin
DLinear__ILI__h60,DLinear,ILI,60,2021,2022,4,134,"fredf,none,revin,san_lite",0.8582089552238806,0.4239251503675652,0.43428380485631546,10.172834621655609,2.3861132337897484,2.2165804072426365,0.9289502173885306,0.07104978261146944,0.9379974674602246,0.9980574784139167,1.6654660052566161,revin,revin
